Full,HIP,TYC1,TYC2,TYC3,Plx,e_,PlxsH,e_,q_,PlxsT,e_,q_,logTeff,e_,logLum,e_,Note,n_RVel,n_CCDM,MultFlag
,,,,,mas,mas,mas,mas,,mas,mas,,[K],[K],[solLum],(...),,,,
47,19449,76,521,1,12.14,2.03,8.75,0.7,5.22,8.64,0.41,2.76,,,,,0,0,0,0
48,19504,1255,312,1,23.22,0.92,22.52,0.31,0.74,22.06,0.3,0,3.8235,0.0029,0.55,0.012,0,0,0,0
49,19554,80,1093,1,25.89,0.95,26.55,0.34,9.33,26.83,0.31,8.36,3.8433,0.0041,0.759,0.011,0,1,1,0
50,19591,1815,309,1,27.21,2.11,25.23,0.54,0.91,26.12,0.38,0,3.6732,0.0033,-0.478,0.021,0,1,2,1
51,19781,679,597,1,21.91,1.27,19.83,0.41,4.29,20.2,0.4,1.93,3.7513,0.0027,-0.02,0.018,0,0,0,0
52,19786,675,351,1,22.19,1.45,21.63,0.45,4.03,21.41,0.42,0.12,3.7643,0.0025,0.052,0.018,0,0,0,0
53,19789,1263,949,1,18.12,0.92,17.59,0.3,1.42,17.21,0.31,5.08,3.8244,0.0029,0.588,0.015,1,0,0,0
54,19793,1815,517,1,21.69,1.14,22.42,0.35,0.45,22.4,0.32,0.22,3.7602,0.0025,0.025,0.014,0,0,0,0
55,19796,671,211,1,21.08,0.97,22.04,0.38,4.02,22.39,0.46,2.17,3.7987,0.0027,0.384,0.015,0,0,0,0
56,19808,675,186,1,22.67,2.3,21.87,0.86,2.08,22.84,0.64,0.34,3.6532,0.0021,-0.817,0.035,0,0,0,0
57,19834,,,,31.94,3.74,21.28,1.12,8.66,,,,3.5892,0.004,-0.899,0.048,0,0,0,0
58,19862,,,,31.11,2.76,21.81,0.77,12.83,,,,,,,,0,0,0,0
59,19870,1263,1000,1,19.48,0.99,20.64,0.34,1.61,20.5,0.33,1.85,3.7483,0.0024,0.196,0.014,1,1,0,0
60,19877,1251,128,1,22.51,0.82,21.54,0.32,1.56,21.52,0.31,0.03,3.8314,0.0048,0.705,0.013,1,0,1,0
61,19934,1276,86,1,19.48,1.17,19.75,0.39,0.45,19.55,0.33,0.01,3.724,0.0025,-0.261,0.018,0,0,0,0
62,20019,1268,6,1,21.4,1.24,21.16,0.38,11.02,21.27,0.36,2.59,3.7367,0.0025,-0.008,0.016,1,1,0,0
