Full,HIP,TYC1,TYC2,TYC3,Plx,e_,PlxsH,e_,q_,PlxsT,e_,q_,logTeff,e_,logLum,e_,Note,n_RVel,n_CCDM,MultFlag
,,,,,mas,mas,mas,mas,,mas,mas,,[K],[K],[solLum],(...),,,,
196,23312,106,892,1,16.77,1.79,19.38,0.65,4.12,20.26,0.65,1.85,3.6964,0.0121,-0.435,0.039,0,0,0,0
197,23497,1293,2747,1,20.01,0.91,19.06,0.39,3.47,18.93,0.34,1.31,3.9115,0.0029,1.472,0.018,1,0,0,0
198,23498,697,1892,1,18.44,1.66,18.47,0.58,0.03,18.41,0.6,0.67,3.7347,0.0025,-0.16,0.027,0,0,0,2
199,23662,110,641,1,16.69,1.12,14.19,0.57,35.88,14.93,0.75,49.54,3.8,0.004,0.534,0.035,0,0,0,3
200,23701,110,1206,1,13.78,2.08,18.61,0.78,6.44,16.39,0.76,0.38,3.6982,0.0025,-0.463,0.037,1,1,0,2
201,23750,1286,2135,1,18.78,1.4,18.85,0.52,0.18,18.79,0.5,0.08,3.7425,0.0037,-0.115,0.024,0,0,0,0
202,23772,1853,313,1,12,1.87,10.01,0.65,52.29,9.25,0.45,229.31,,,,,1,2,3,1
203,23983,702,2789,1,18.54,0.83,19.01,0.51,0.44,19.2,0.52,0.34,3.8872,0.0031,1.151,0.023,1,1,1,0
204,24019,1853,1958,1,18.28,1.3,17.94,0.45,5.61,17.53,0.68,1.22,3.8578,0.0034,1.007,0.022,1,0,1,1
205,24021,111,1835,1,21.39,1.21,17.99,0.63,169.14,15.3,0.67,67.37,3.8128,0.0041,0.431,0.03,0,0,0,0
206,24116,1290,502,1,11.56,1.19,12.37,0.47,1.22,12.49,0.46,2.22,3.8182,0.0044,0.581,0.033,0,0,0,0
207,24923,707,1553,1,18.26,1.58,17.78,0.71,0.23,18.39,0.66,0.23,3.7347,0.0072,-0.139,0.035,0,0,0,0
208,25639,2407,211,1,11.58,1.13,14.23,0.35,223.09,16.05,0.44,185.78,3.7869,0.0052,0.218,0.021,0,0,0,0
209,25694,1309,2465,1,11.17,1.28,9.2,0.62,133.5,7.63,0.51,187.68,,,,,0,0,0,0
210,25871,1856,805,1,11.55,0.91,11.9,0.45,15.25,12.26,0.54,0.8,,,,,0,0,0,0
211,26159,1309,1314,1,11.13,1.39,6.53,0.62,13.74,6.85,0.57,1.49,,,,,0,0,0,6
212,26382,1302,362,1,18.56,0.86,19.71,0.65,4.61,19.94,0.63,0.04,3.8925,0.0036,1.081,0.029,0,0,0,0
213,26844,1298,1046,1,46.51,2.35,39.13,1.46,23.57,37.66,1.09,10.72,,,,,0,0,0,0
214,27431,715,1157,1,13.11,0.87,11.04,1.15,119.46,9.01,1.52,17.27,,,,,0,0,0,0
215,27791,2414,1204,1,11.5,6.04,12.6,1.8,2.39,14.57,0.41,617.15,,,,,0,0,1,7
216,28356,121,432,1,14.87,0.98,13.44,1.26,7.61,12.4,1.29,6.73,3.8137,0.0043,0.536,0.081,0,0,0,0
217,28469,1876,439,1,10.52,0.99,8.47,0.45,65.79,8.93,0.55,56.85,,,,,0,0,0,0
218,28774,2419,1011,1,12.81,12.8,2.48,7.03,0.93,1.17,0.85,0.25,,,,,0,0,1,1
