# File generated by CMD 2.2 (http://stev.oapd.inaf.it/cmd) on Tue Apr  6 21:54:41 CEST 2010
# Basic reference: Marigo et al. (2008, A&A 482, 883) 
# + Bertelli et al. (1994, A&AS, 106, 275) for the Mi>7.0 Msun interval
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# BCs of Carbon stars derive from Loidl et al. (2001)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
#   Isochrone   Z = 0.01900     Age =   3.162e+07 yr
# log(age/yr)   M_ini       M_act   logL/Lo logTe   logG    mbol    U       B       V       R       I       J       H       K   C/O M_hec   period  pmode   logMdot int_IMF
    7.50    0.1500000060    0.1500  -2.5111 3.5183  5.1444  11.048  16.057  14.573  12.998  11.865  10.486  9.221   8.677   8.424   0.4787  0.0000  0.0 1   -17.817 1.9609395266
    7.50    0.2000000030    0.2000  -2.2372 3.5399  5.0819  10.363  14.894  13.525  12.026  10.976  9.750   8.590   8.029   7.790   0.4787  0.0000  0.0 1   -17.692 2.2217822075
    7.50    0.2500000000    0.2500  -2.0501 3.5514  5.0376  9.895   14.190  12.876  11.417  10.407  9.259   8.150   7.577   7.347   0.4787  0.0000  0.0 1   -17.573 2.4080901146
    7.50    0.3000000119    0.3000  -1.9015 3.5605  5.0047  9.524   13.600  12.357  10.949  9.963   8.870   7.791   7.213   7.001   0.4787  0.0000  0.0 1   -16.636 2.5475041866
    7.50    0.3499999940    0.3500  -1.7730 3.5691  4.9775  9.203   13.083  11.905  10.541  9.576   8.532   7.480   6.898   6.703   0.4787  0.0000  0.0 1   -15.843 2.6555202007
    7.50    0.4000000060    0.4000  -1.6333 3.5769  4.9269  8.853   12.577  11.453  10.129  9.180   8.172   7.140   6.551   6.371   0.4787  0.0000  0.0 1   -15.157 2.7413372993
    7.50    0.4499999881    0.4500  -1.5096 3.5859  4.8904  8.544   12.112  11.013  9.714   8.794   7.863   6.864   6.249   6.087   0.4787  0.0000  0.0 1   -14.551 2.8109800816
    7.50    0.4770896435    0.4771  -1.4436 3.5916  4.8726  8.379   11.846  10.760  9.475   8.575   7.697   6.722   6.089   5.939   0.4787  0.0000  0.0 1   -14.250 2.8434178829
    7.50    0.5000000000    0.5000  -1.3907 3.5962  4.8585  8.247   11.632  10.555  9.281   8.398   7.565   6.609   5.960   5.820   0.4787  0.0000  0.0 1   -14.009 2.8684780598
    7.50    0.5500000119    0.5500  -1.2618 3.6074  4.8158  7.924   11.161  10.094  8.845   7.999   7.247   6.328   5.654   5.531   0.4787  0.0000  0.0 1   -13.519 2.9166350365
    7.50    0.6000000238    0.6000  -1.1377 3.6202  4.7805  7.614   10.707  9.648   8.426   7.620   6.942   6.060   5.371   5.261   0.4787  0.0000  0.0 1   -13.072 2.9573988914
    7.50    0.6999999881    0.7000  -0.8788 3.6485  4.7020  6.967   9.635   8.674   7.552   6.842   6.285   5.493   4.835   4.750   0.4787  0.0000  0.0 1   -12.279 3.0225379467
    7.50    0.8000000119    0.8000  -0.6163 3.6812  4.6282  6.311   8.405   7.667   6.671   6.077   5.606   4.931   4.371   4.306   0.4787  0.0000  0.0 1   -11.616 3.0718705654
