# File generated by CMD 2.2 (http://stev.oapd.inaf.it/cmd) on Tue Apr  6 21:54:41 CEST 2010
# Basic reference: Marigo et al. (2008, A&A 482, 883) 
# + Bertelli et al. (1994, A&AS, 106, 275) for the Mi>7.0 Msun interval
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# BCs of Carbon stars derive from Loidl et al. (2001)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
#   Isochrone   Z = 0.01900     Age =   1.000e+08 yr
# log(age/yr)   M_ini       M_act   logL/Lo logTe   logG    mbol    U       B       V       R       I       J       H       K   C/O M_hec   period  pmode   logMdot int_IMF
    8.00    0.1500000060    0.1500  -2.5110 3.5183  5.1444  11.048  16.057  14.572  12.998  11.865  10.485  9.221   8.677   8.424   0.4787  0.0000  0.0 1   -17.817 1.9609395266
    8.00    0.2000000030    0.2000  -2.2371 3.5399  5.0818  10.363  14.893  13.524  12.026  10.976  9.749   8.590   8.029   7.790   0.4787  0.0000  0.0 1   -17.692 2.2217822075
    8.00    0.2500000000    0.2500  -2.0498 3.5514  5.0374  9.895   14.189  12.875  11.417  10.406  9.258   8.149   7.577   7.346   0.4787  0.0000  0.0 1   -17.573 2.4080901146
    8.00    0.3000000119    0.3000  -1.9012 3.5605  5.0043  9.523   13.599  12.356  10.948  9.962   8.869   7.791   7.212   7.000   0.4787  0.0000  0.0 1   -16.636 2.5475041866
    8.00    0.3499999940    0.3500  -1.7726 3.5691  4.9771  9.202   13.082  11.904  10.540  9.575   8.531   7.479   6.897   6.702   0.4787  0.0000  0.0 1   -15.843 2.6555202007
    8.00    0.4000000060    0.4000  -1.6326 3.5769  4.9262  8.851   12.576  11.451  10.127  9.179   8.170   7.138   6.550   6.369   0.4787  0.0000  0.0 1   -15.157 2.7413372993
    8.00    0.4499999881    0.4500  -1.5094 3.5859  4.8902  8.543   12.111  11.012  9.713   8.793   7.862   6.863   6.249   6.087   0.4787  0.0000  0.0 1   -14.551 2.8109800816
    8.00    0.5000000000    0.5000  -1.3902 3.5962  4.8579  8.245   11.630  10.554  9.280   8.397   7.564   6.608   5.959   5.819   0.4787  0.0000  0.0 1   -14.009 2.8684780598
    8.00    0.5500000119    0.5500  -1.2615 3.6074  4.8155  7.924   11.160  10.093  8.844   7.998   7.247   6.327   5.653   5.530   0.4787  0.0000  0.0 1   -13.519 2.9166350365
    8.00    0.6000000238    0.6000  -1.1371 3.6201  4.7795  7.613   10.707  9.648   8.426   7.619   6.941   6.058   5.369   5.259   0.4787  0.0000  0.0 1   -13.072 2.9573988914
    8.00    0.6999999881    0.7000  -0.8782 3.6482  4.7000  6.966   9.639   8.677   7.553   6.842   6.284   5.491   4.831   4.746   0.4787  0.0000  0.0 1   -12.279 3.0225379467
    8.00    0.8000000119    0.8000  -0.6144 3.6814  4.6270  6.306   8.397   7.660   6.665   6.072   5.602   4.927   4.368   4.302   0.4787  0.0000  0.0 1   -11.616 3.0718705654
    8.00    0.8999999762    0.9000  -0.3699 3.7184  4.5817  5.695   7.176   6.728   5.874   5.391   4.993   4.443   3.995   3.946   0.4787  0.0000  0.0 1   -11.750 3.1102609634
    8.00    0.9052655697    0.9053  -0.3578 3.7201  4.5788  5.664   7.119   6.684   5.837   5.359   4.964   4.419   3.976   3.928   0.4787  0.0000  0.0 1   -11.794 3.1120419502
