# File generated by CMD 2.2 (http://stev.oapd.inaf.it/cmd) on Tue Apr  6 21:54:41 CEST 2010
# Basic reference: Marigo et al. (2008, A&A 482, 883) 
# + Bertelli et al. (1994, A&AS, 106, 275) for the Mi>7.0 Msun interval
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# BCs of Carbon stars derive from Loidl et al. (2001)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
#   Isochrone   Z = 0.01900     Age =   1.000e+07 yr
# log(age/yr)   M_ini       M_act   logL/Lo logTe   logG    mbol    U       B       V       R       I       J       H       K   C/O M_hec   period  pmode   logMdot int_IMF
    7.00    0.1500000060    0.1500  -2.5111 3.5183  5.1444  11.048  16.057  14.573  12.998  11.865  10.486  9.221   8.677   8.424   0.4787  0.0000  0.0 1   -17.817 1.9609395266
    7.00    0.2000000030    0.2000  -2.2373 3.5399  5.0819  10.363  14.894  13.525  12.026  10.977  9.750   8.590   8.029   7.790   0.4787  0.0000  0.0 1   -17.692 2.2217822075
    7.00    0.2500000000    0.2500  -2.0502 3.5514  5.0377  9.895   14.190  12.876  11.418  10.407  9.259   8.150   7.578   7.347   0.4787  0.0000  0.0 1   -17.573 2.4080901146
    7.00    0.3000000119    0.3000  -1.9016 3.5605  5.0048  9.524   13.600  12.358  10.949  9.963   8.870   7.792   7.213   7.001   0.4787  0.0000  0.0 1   -16.636 2.5475041866
    7.00    0.3499999940    0.3500  -1.7731 3.5691  4.9776  9.203   13.083  11.905  10.542  9.577   8.532   7.481   6.899   6.703   0.4787  0.0000  0.0 1   -15.843 2.6555202007
    7.00    0.4000000060    0.4000  -1.6335 3.5769  4.9272  8.854   12.578  11.453  10.129  9.181   8.173   7.140   6.552   6.371   0.4787  0.0000  0.0 1   -15.157 2.7413372993
    7.00    0.4499999881    0.4500  -1.5096 3.5859  4.8905  8.544   12.112  11.013  9.714   8.794   7.863   6.864   6.250   6.087   0.4787  0.0000  0.0 1   -14.551 2.8109800816
    7.00    0.5000000000    0.5000  -1.3909 3.5962  4.8587  8.247   11.632  10.555  9.282   8.398   7.566   6.610   5.961   5.821   0.4787  0.0000  0.0 1   -14.009 2.8684780598
    7.00    0.5500000119    0.5500  -1.2619 3.6074  4.8158  7.925   11.161  10.094  8.845   7.999   7.248   6.328   5.654   5.531   0.4787  0.0000  0.0 1   -13.519 2.9166350365
    7.00    0.6000000238    0.6000  -1.1379 3.6202  4.7808  7.615   10.707  9.648   8.427   7.620   6.942   6.060   5.372   5.261   0.4787  0.0000  0.0 1   -13.072 2.9573988914
    7.00    0.6999999881    0.7000  -0.8790 3.6486  4.7027  6.968   9.634   8.674   7.551   6.842   6.285   5.494   4.836   4.751   0.4787  0.0000  0.0 1   -12.279 3.0225379467
    7.00    0.8000000119    0.8000  -0.6172 3.6811  4.6288  6.313   8.409   7.670   6.673   6.079   5.609   4.933   4.373   4.308   0.4787  0.0000  0.0 1   -11.616 3.0718705654
    7.00    0.8999999762    0.9000  -0.3755 3.7179  4.5852  5.709   7.198   6.746   5.890   5.406   5.007   4.455   4.006   3.957   0.4787  0.0000  0.0 1   -11.750 3.1102609634
    7.00    1.0000000000    1.0000  -0.1630 3.7478  4.5383  5.177   6.230   5.998   5.268   4.853   4.505   4.044   3.673   3.634   0.4787  0.0000  0.0 1   -12.840 3.1408040524
    7.00    1.1000000238    1.1000  0.0323  3.7700  4.4732  4.689   5.472   5.371   4.735   4.368   4.054   3.655   3.334   3.303   0.4787  0.0000  0.0 1   -13.742 3.1655414104
    7.00    1.2000000477    1.2000  0.2481  3.7954  4.3965  4.150   4.696   4.693   4.162   3.844   3.569   3.236   2.970   2.946   0.4787  0.0000  0.0 1   -14.208 3.1858570576
    7.00    1.2999999523    1.3000  0.4186  3.8154  4.3408  3.724   4.139   4.172   3.717   3.438   3.195   2.911   2.685   2.666   0.4787  0.0000  0.0 1   -14.431 3.2028071880
    7.00    1.3999999762    1.4000  0.5703  3.8349  4.2993  3.344   3.669   3.711   3.323   3.082   2.872   2.633   2.446   2.431   0.4787  0.0000  0.0 1   -14.553 3.2170591354
    7.00    1.5000000000    1.5000  0.7001  3.8564  4.2856  3.020   3.277   3.310   2.988   2.789   2.616   2.425   2.279   2.266   0.4787  0.0000  0.0 1   -14.637 3.2291738987
    7.00    1.6000000238    1.6000  0.8271  3.8812  4.2859  2.702   2.912   2.919   2.664   2.514   2.386   2.247   2.145   2.135   0.4787  0.0000  0.0 1   -14.703 3.2395837307
    7.00    1.7000000477    1.7000  0.9441  3.9051  4.2908  2.410   2.591   2.569   2.378   2.274   2.189   2.096   2.031   2.023   0.4787  0.0000  0.0 1   -14.761 3.2485761642
    7.00    1.7999999523    1.8000  1.0449  3.9265  4.3004  2.158   2.318   2.280   2.148   2.084   2.033   1.977   1.941   1.935   0.4787  0.0000  0.0 1   -14.814 3.2563917637
    7.00    1.8999999762    1.9000  1.1375  3.9453  4.3066  1.926   2.069   2.043   1.957   1.922   1.895   1.868   1.850   1.846   0.4787  0.0000  0.0 1   -14.864 3.2632381916
    7.00    1.9500000477    1.9500  1.1802  3.9541  4.3104  1.820   1.956   1.941   1.875   1.851   1.835   1.820   1.809   1.806   0.4787  0.0000  0.0 1   -14.888 3.2663500309
    7.00    2.0000000000    2.0000  1.2384  3.9632  4.2993  1.674   1.806   1.809   1.761   1.746   1.738   1.735   1.730   1.730   0.4787  0.0000  0.0 1   -14.912 3.2692775726
    7.00    2.2000000477    2.2000  1.3897  3.9937  4.3116  1.296   1.428   1.503   1.507   1.516   1.533   1.568   1.579   1.585   0.4787  0.0000  0.0 1   -15.001 3.2793695927
    7.00    2.4642202854    2.4642  1.5806  4.0292  4.3119  0.818   0.973   1.152   1.201   1.227   1.263   1.337   1.361   1.378   0.4787  0.0000  0.0 1   -15.106 3.2896516323
    7.00    2.5000000000    2.5000  1.6051  4.0337  4.3118  0.757   0.917   1.110   1.162   1.190   1.228   1.307   1.333   1.351   0.4787  0.0000  0.0 1   -15.120 3.2908382416
    7.00    3.0000000000    3.0000  1.9065  4.0873  4.3036  0.004   0.234   0.595   0.688   0.730   0.789   0.921   0.962   0.993   0.4787  0.0000  0.1 1   -13.516 3.3037204742
    7.00    3.5000000000    3.5000  2.1567  4.1300  4.2915  -0.622  -0.298  0.184   0.300   0.351   0.424   0.592   0.643   0.683   0.4787  0.0000  0.1 1   -13.449 3.3120026588
    7.00    4.0000000000    4.0000  2.3698  4.1657  4.2791  -1.154  -0.731  -0.162  -0.026  0.032   0.116   0.311   0.370   0.416   0.4787  0.0000  0.1 1   -13.391 3.3176128864
    7.00    4.5000000000    4.5000  2.5540  4.1970  4.2712  -1.615  -1.088  -0.453  -0.302  -0.236  -0.143  0.074   0.139   0.191   0.4787  0.0000  0.1 1   -13.339 3.3215744495
    7.00    5.0000000000    5.0000  2.7231  4.2241  4.2561  -2.038  -1.415  -0.728  -0.563  -0.491  -0.389  -0.155  -0.084  -0.027  0.4787  0.0000  0.1 1   -13.294 3.3244650364
    7.00    6.0000000000    6.0000  3.0162  4.2687  4.2207  -2.771  -1.986  -1.218  -1.031  -0.948  -0.832  -0.569  -0.490  -0.424  0.4787  0.0000  0.1 1   -13.215 3.3282895088
    7.00    6.2959589958    6.2960  3.0930  4.2801  4.2105  -2.963  -2.136  -1.348  -1.156  -1.070  -0.950  -0.680  -0.599  -0.531  0.4787  0.0000  0.1 1   -13.194 3.3290939331
    7.00    7.0000000000    7.0000  3.2654  4.3057  4.1865  -3.394  -2.474  -1.642  -1.439  -1.345  -1.218  -0.932  -0.845  -0.773  0.4787  0.0000  0.1 1   -13.148 3.3306136131
    7.00    8.2974462509    8.2974  3.5534  4.3445  4.1274  -4.113  -3.056  -2.158  -1.939  -1.837  -1.697  -1.387  -1.291  -1.212  0.4787  0.0000  0.1 1   -13.074 3.3324570656
    7.00    9.0000000000    9.0000  3.6985  4.3622  4.0886  -4.476  -3.357  -2.429  -2.204  -2.098  -1.954  -1.633  -1.532  -1.450  0.4787  0.0000  0.1 1   -13.038 3.3331298828
    7.00    10.8767595291   10.8768 4.0177  4.3987  3.9974  -5.274  -4.032  -3.044  -2.805  -2.692  -2.539  -2.197  -2.089  -1.999  0.4787  0.0000  0.1 1   -12.956 3.3343062401
    7.00    12.0000000000   12.0000 4.1986  4.4135  3.9186  -5.726  -4.441  -3.429  -3.183  -3.067  -2.911  -2.561  -2.449  -2.356  0.4787  0.0000  0.2 1   -12.913 3.3347461224
    7.00    12.8373203278   12.8155 4.3158  4.4213  3.8612  -6.019  -4.714  -3.688  -3.439  -3.322  -3.164  -2.809  -2.696  -2.601  0.4787  0.0000  0.2 1   -12.885 3.3349959850
    7.00    14.4586019516   14.3719 4.5390  4.4224  3.6922  -6.578  -5.292  -4.255  -4.005  -3.888  -3.730  -3.373  -3.260  -3.164  0.4787  0.0000  0.3 1   -12.835 3.3353507519
    7.00    15.0000000000   14.8570 4.6134  4.4157  3.6054  -6.763  -5.513  -4.480  -4.232  -4.118  -3.961  -3.608  -3.496  -3.401  0.4787  0.0000  0.3 1   -12.821 3.3354415894
    7.00    15.6989459991   15.4734 4.6939  4.4061  3.5040  -6.965  -5.762  -4.735  -4.491  -4.379  -4.225  -3.877  -3.767  -3.673  0.4787  0.0000  0.4 1   -12.803 3.3355436325
    7.00    16.8567314148   16.4448 4.8273  4.3640  3.2288  -7.298  -6.285  -5.293  -5.068  -4.968  -4.828  -4.500  -4.399  -4.313  0.4787  0.0000  0.6 1   -12.777 3.3356821537
    7.00    17.3399200439   16.8194 4.8834  4.3339  3.0622  -7.438  -6.551  -5.593  -5.379  -5.287  -5.155  -4.842  -4.747  -4.666  0.4787  0.0000  0.8 1   -12.767 3.3357305527
    7.00    17.6216869354   17.0299 4.9179  4.3187  2.9722  -7.525  -6.695  -5.759  -5.550  -5.461  -5.333  -5.029  -4.936  -4.857  0.4787  0.0000  1.0 1   -12.761 3.3357567787
    7.00    17.6822452545   17.0659 4.9281  4.3241  2.9843  -7.550  -6.704  -5.758  -5.547  -5.457  -5.328  -5.020  -4.926  -4.847  0.4787  0.0000  0.9 1   -12.761 3.3357622623
    7.00    17.7504711151   17.0805 4.9539  4.3537  3.0774  -7.615  -6.661  -5.670  -5.450  -5.354  -5.218  -4.894  -4.795  -4.711  0.4787  0.0000  0.8 1   -12.760 3.3357684612
    7.00    17.7590446472   17.0820 4.9862  4.3778  3.1417  -7.695  -6.651  -5.628  -5.399  -5.298  -5.156  -4.820  -4.716  -4.628  0.4787  0.0000  0.7 1   -12.760 3.3357691765
    7.00    17.7605762482   17.0822 4.9916  4.3836  3.1592  -7.709  -6.643  -5.612  -5.382  -5.279  -5.136  -4.797  -4.692  -4.603  0.4787  0.0000  0.7 1   -12.760 3.3357691765
    7.00    17.7634201050   17.0827 4.9728  4.3670  3.1117  -7.662  -6.658  -5.650  -5.425  -5.326  -5.187  -4.856  -4.755  -4.668  0.4787  0.0000  0.8 1   -12.760 3.3357694149
    7.00    17.7646236420   17.0829 4.9698  4.3493  3.0441  -7.654  -6.721  -5.733  -5.515  -5.420  -5.286  -4.964  -4.866  -4.782  0.4787  0.0000  0.8 1   -12.760 3.3357696533
    7.00    17.7653884888   17.0831 4.9702  4.3355  2.9882  -7.655  -6.773  -5.806  -5.592  -5.501  -5.369  -5.055  -4.959  -4.877  0.4787  0.0000  0.9 1   -12.760 3.3357696533
    7.00    17.7660903931   17.0832 4.9708  4.3210  2.9297  -7.657  -6.821  -5.880  -5.670  -5.581  -5.452  -5.147  -5.054  -4.974  0.4787  0.0000  1.0 1   -12.760 3.3357696533
    7.00    17.7667903900   17.0833 4.9714  4.3058  2.8684  -7.659  -6.870  -5.958  -5.752  -5.665  -5.541  -5.245  -5.156  -5.079  0.4787  0.0000  1.1 1   -12.760 3.3357698917
    7.00    17.7673912048   17.0834 4.9723  4.2912  2.8092  -7.661  -6.929  -6.035  -5.835  -5.753  -5.634  -5.346  -5.261  -5.188  0.4787  0.0000  1.3 1   -12.760 3.3357698917
    7.00    17.7680931091   17.0835 4.9731  4.2737  2.7383  -7.663  -7.018  -6.127  -5.940  -5.866  -5.755  -5.477  -5.396  -5.326  0.4787  0.0000  1.4 1   -12.760 3.3357698917
    7.00    17.7686920166   17.0836 4.9736  4.2573  2.6720  -7.664  -7.078  -6.213  -6.032  -5.963  -5.858  -5.590  -5.514  -5.447  0.4787  0.0000  1.6 1   -12.760 3.3357698917
    7.00    17.7691936493   17.0837 4.9738  4.2416  2.6090  -7.665  -7.134  -6.295  -6.120  -6.055  -5.955  -5.697  -5.625  -5.561  0.4787  0.0000  1.8 1   -12.760 3.3357701302
    7.00    17.7693939209   17.0838 4.9739  4.2352  2.5833  -7.665  -7.157  -6.328  -6.156  -6.093  -5.995  -5.741  -5.671  -5.608  0.4787  0.0000  1.9 1   -12.760 3.3357701302
    7.00    17.7698955536   17.0839 4.9735  4.2201  2.5233  -7.664  -7.209  -6.405  -6.240  -6.181  -6.088  -5.844  -5.778  -5.718  0.4787  0.0000  2.1 1   -12.760 3.3357701302
    7.00    17.7702960968   17.0839 4.9732  4.2061  2.4677  -7.663  -7.253  -6.477  -6.316  -6.261  -6.174  -5.939  -5.877  -5.820  0.4787  0.0000  2.3 1   -12.760 3.3357701302
    7.00    17.7706966400   17.0840 4.9727  4.1913  2.4092  -7.662  -7.296  -6.552  -6.397  -6.345  -6.263  -6.040  -5.981  -5.927  0.4787  0.0000  2.5 1   -12.760 3.3357701302
    7.00    17.7711963654   17.0841 4.9718  4.1733  2.3381  -7.659  -7.349  -6.642  -6.495  -6.448  -6.373  -6.162  -6.108  -6.057  0.4787  0.0000  2.9 1   -12.760 3.3357701302
    7.00    17.7715969086   17.0841 4.9707  4.1563  2.2711  -7.657  -7.409  -6.716  -6.583  -6.545  -6.479  -6.279  -6.231  -6.183  0.4787  0.0000  3.2 1   -12.760 3.3357701302
    7.00    17.7718963623   17.0842 4.9697  4.1429  2.2186  -7.654  -7.450  -6.779  -6.654  -6.621  -6.561  -6.371  -6.326  -6.281  0.4787  0.0000  3.5 1   -12.760 3.3357703686
    7.00    17.7722969055   17.0843 4.9685  4.1260  2.1522  -7.651  -7.489  -6.870  -6.748  -6.718  -6.662  -6.486  -6.444  -6.402  0.4787  0.0000  4.0 1   -12.760 3.3357703686
    7.00    17.7725963593   17.0843 4.9673  4.1106  2.0917  -7.648  -7.520  -6.952  -6.833  -6.805  -6.753  -6.590  -6.551  -6.511  0.4787  0.0000  4.4 1   -12.760 3.3357703686
    7.00    17.7729969025   17.0844 4.9656  4.0914  2.0165  -7.644  -7.563  -7.044  -6.934  -6.911  -6.866  -6.718  -6.685  -6.648  0.4787  0.0000  5.0 1   -12.760 3.3357703686
    7.00    17.7732982635   17.0844 4.9639  4.0738  1.9477  -7.640  -7.609  -7.114  -7.019  -7.004  -6.969  -6.835  -6.809  -6.775  0.4787  0.0000  5.6 1   -12.760 3.3357703686
    7.00    17.7734985352   17.0845 4.9625  4.0615  1.8999  -7.636  -7.637  -7.160  -7.075  -7.067  -7.040  -6.915  -6.893  -6.862  0.4787  0.0000  6.1 1   -12.760 3.3357703686
    7.00    17.7737979889   17.0845 4.9609  4.0452  1.8365  -7.632  -7.667  -7.224  -7.151  -7.150  -7.131  -7.021  -7.004  -6.976  0.4787  0.0000  6.8 1   -12.760 3.3357703686
    7.00    17.7739982605   17.0846 4.9593  4.0313  1.7826  -7.628  -7.678  -7.284  -7.217  -7.218  -7.204  -7.109  -7.096  -7.070  0.4787  0.0000  7.5 1   -12.760 3.3357703686
    7.00    17.7741985321   17.0846 4.9575  4.0168  1.7265  -7.624  -7.683  -7.344  -7.282  -7.287  -7.278  -7.199  -7.190  -7.166  0.4787  0.0000  8.3 1   -12.760 3.3357703686
    7.00    17.7744998932   17.0847 4.9551  3.9973  1.6505  -7.618  -7.684  -7.422  -7.368  -7.376  -7.374  -7.319  -7.316  -7.297  0.4787  0.0000  9.4 1   -12.760 3.3357706070
    7.00    17.7747001648   17.0847 4.9529  3.9809  1.5873  -7.612  -7.676  -7.482  -7.436  -7.445  -7.451  -7.417  -7.421  -7.405  0.4787  0.0000  10.5    1   -12.760 3.3357706070
    7.00    17.7749004364   17.0847 4.9503  3.9636  1.5207  -7.606  -7.673  -7.517  -7.493  -7.514  -7.533  -7.519  -7.532  -7.520  0.4787  0.0000  11.8    1   -12.760 3.3357706070
