# File generated by CMD 2.2 (http://stev.oapd.inaf.it/cmd) on Tue Apr  6 21:54:41 CEST 2010
# Basic reference: Marigo et al. (2008, A&A 482, 883) 
# + Bertelli et al. (1994, A&AS, 106, 275) for the Mi>7.0 Msun interval
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# BCs of Carbon stars derive from Loidl et al. (2001)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
#   Isochrone   Z = 0.01900     Age =   3.162e+08 yr
# log(age/yr)   M_ini       M_act   logL/Lo logTe   logG    mbol    U       B       V       R       I       J       H       K   C/O M_hec   period  pmode   logMdot int_IMF
    8.50    2.0000000000    2.0000  1.2746  3.9463  4.1957  1.583   1.721   1.690   1.615   1.583   1.560   1.533   1.517   1.513   0.4787  0.0000  0.1 1   -14.912 3.2692775726
    8.50    2.1366302967    2.1366  1.3995  3.9620  4.1623  1.271   1.397   1.394   1.354   1.339   1.332   1.327   1.321   1.320   0.4787  0.0000  0.1 1   -14.973 3.2764258385
    8.50    2.2000000477    2.2000  1.4558  3.9683  4.1438  1.131   1.251   1.262   1.236   1.227   1.226   1.229   1.227   1.228   0.4787  0.0000  0.1 1   -15.001 3.2793695927
    8.50    2.3298995495    2.3299  1.5671  3.9805  4.1064  0.852   0.968   1.009   1.006   1.008   1.016   1.034   1.040   1.043   0.4787  0.0000  0.1 1   -15.054 3.2847874165
    8.50    2.4867131710    2.4867  1.6979  3.9921  4.0503  0.525   0.639   0.713   0.731   0.740   0.757   0.788   0.799   0.806   0.4787  0.0000  0.1 1   -15.115 3.2904024124
    8.50    2.5000000000    2.5000  1.7088  3.9930  4.0452  0.498   0.611   0.688   0.708   0.717   0.734   0.767   0.778   0.785   0.4787  0.0000  0.1 1   -15.120 3.2908382416
    8.50    2.6321268082    2.6321  1.8147  3.9995  3.9875  0.233   0.343   0.439   0.472   0.486   0.507   0.548   0.561   0.570   0.4787  0.0000  0.1 1   -15.168 3.2948658466
    8.50    2.7433593273    2.7434  1.9027  4.0021  3.9281  0.013   0.119   0.226   0.265   0.280   0.303   0.346   0.361   0.371   0.4787  0.0000  0.1 1   -15.207 3.2978706360
    8.50    2.8378181458    2.8378  1.9767  4.0014  3.8660  -0.172  -0.072  0.036   0.077   0.091   0.114   0.157   0.171   0.181   0.4787  0.0000  0.1 1   -15.238 3.3001840115
    8.50    2.9189209938    2.9189  2.0397  3.9980  3.8016  -0.329  -0.236  -0.135  -0.096  -0.083  -0.063  -0.024  -0.011  -0.002  0.4787  0.0000  0.1 1   -13.527 3.3020164967
    8.50    2.9886639118    2.9887  2.0929  3.9925  3.7366  -0.462  -0.375  -0.288  -0.253  -0.243  -0.226  -0.194  -0.184  -0.176  0.4787  0.0000  0.2 1   -13.517 3.3034894466
    8.50    3.0000000000    3.0000  2.1015  3.9914  3.7251  -0.484  -0.398  -0.314  -0.280  -0.270  -0.254  -0.224  -0.214  -0.206  0.4787  0.0000  0.2 1   -13.516 3.3037204742
    8.50    3.0565919876    3.0566  2.1451  3.9846  3.6624  -0.593  -0.512  -0.447  -0.419  -0.413  -0.401  -0.379  -0.372  -0.365  0.4787  0.0000  0.2 1   -13.507 3.3048408031
    8.50    3.1093170643    3.1093  2.1861  3.9746  3.5891  -0.695  -0.620  -0.584  -0.565  -0.564  -0.558  -0.548  -0.546  -0.541  0.4787  0.0000  0.2 1   -13.500 3.3058369160
    8.50    3.1330444813    3.1330  2.2054  3.9696  3.5532  -0.743  -0.667  -0.645  -0.632  -0.635  -0.633  -0.629  -0.630  -0.627  0.4787  0.0000  0.2 1   -13.497 3.3062710762
    8.50    3.1550736427    3.1551  2.2253  3.9659  3.5212  -0.793  -0.716  -0.705  -0.696  -0.701  -0.702  -0.704  -0.707  -0.705  0.4787  0.0000  0.2 1   -13.494 3.3066663742
    8.50    3.1687340736    3.1687  2.2407  3.9655  3.5061  -0.832  -0.756  -0.745  -0.736  -0.742  -0.743  -0.745  -0.748  -0.746  0.4787  0.0000  0.3 1   -13.492 3.3069081306
    8.50    3.1788814068    3.1789  2.2569  3.9689  3.5048  -0.872  -0.799  -0.778  -0.764  -0.767  -0.765  -0.763  -0.764  -0.761  0.4787  0.0000  0.3 1   -13.490 3.3070857525
    8.50    3.1860466003    3.1860  2.2762  3.9772  3.5200  -0.920  -0.852  -0.805  -0.779  -0.776  -0.768  -0.755  -0.752  -0.746  0.4787  0.0000  0.2 1   -13.489 3.3072102070
    8.50    3.1908385754    3.1908  2.3095  3.9954  3.5600  -1.004  -0.932  -0.828  -0.781  -0.769  -0.751  -0.715  -0.704  -0.694  0.4787  0.0000  0.2 1   -13.489 3.3072931767
    8.50    3.1921811104    3.1922  2.3406  4.0119  3.5953  -1.081  -1.001  -0.843  -0.782  -0.763  -0.736  -0.681  -0.664  -0.648  0.4787  0.0000  0.2 1   -13.489 3.3073163033
    8.50    3.1929209232    3.1929  2.3771  4.0291  3.6273  -1.173  -1.078  -0.865  -0.791  -0.766  -0.732  -0.656  -0.633  -0.613  0.4787  0.0000  0.2 1   -13.488 3.3073291779
    8.50    3.1930191517    3.1930  2.3642  4.0266  3.6306  -1.140  -1.048  -0.843  -0.770  -0.747  -0.713  -0.640  -0.618  -0.598  0.4787  0.0000  0.2 1   -13.488 3.3073308468
    8.50    3.1931948662    3.1932  2.3213  4.0132  3.6197  -1.033  -0.949  -0.789  -0.728  -0.708  -0.681  -0.624  -0.607  -0.591  0.4787  0.0000  0.2 1   -13.488 3.3073337078
    8.50    3.1934278011    3.1934  2.3138  3.9958  3.5576  -1.014  -0.943  -0.838  -0.790  -0.778  -0.759  -0.723  -0.712  -0.702  0.4787  0.0000  0.2 1   -13.488 3.3073377609
    8.50    3.1937453747    3.1937  2.3347  3.9782  3.4665  -1.067  -1.003  -0.950  -0.920  -0.916  -0.909  -0.894  -0.890  -0.884  0.4787  0.0000  0.3 1   -13.488 3.3073432446
    8.50    3.1941740513    3.1942  2.3476  3.9586  3.3753  -1.099  -1.028  -1.033  -1.029  -1.039  -1.045  -1.057  -1.064  -1.064  0.4787  0.0000  0.3 1   -13.488 3.3073506355
    8.50    3.1945791245    3.1946  2.3503  3.9420  3.3061  -1.106  -1.016  -1.068  -1.092  -1.116  -1.137  -1.173  -1.190  -1.194  0.4787  0.0000  0.4 1   -13.488 3.3073575497
    8.50    3.1950354576    3.1950  2.3479  3.9242  3.2373  -1.100  -0.978  -1.077  -1.135  -1.179  -1.219  -1.281  -1.313  -1.321  0.4787  0.0000  0.4 1   -13.488 3.3073654175
    8.50    3.1955566406    3.1956  2.3410  3.9039  3.1631  -1.082  -0.909  -1.040  -1.150  -1.224  -1.292  -1.390  -1.443  -1.456  0.4787  0.0000  0.5 1   -13.488 3.3073744774
    8.50    3.1959309578    3.1959  2.3334  3.8885  3.1093  -1.064  -0.849  -0.987  -1.144  -1.246  -1.338  -1.465  -1.537  -1.553  0.4787  0.0000  0.5 1   -13.488 3.3073809147
    8.50    3.1963214874    3.1963  2.3233  3.8714  3.0510  -1.038  -0.773  -0.911  -1.126  -1.263  -1.383  -1.543  -1.640  -1.658  0.4787  0.0000  0.6 1   -13.488 3.3073875904
    8.50    3.1967282295    3.1967  2.3097  3.8519  2.9866  -1.004  -0.676  -0.803  -1.087  -1.266  -1.422  -1.622  -1.753  -1.773  0.4787  0.0000  0.6 1   -13.488 3.3073945045
    8.50    3.1971378326    3.1971  2.2924  3.8298  2.9155  -0.961  -0.542  -0.665  -1.026  -1.252  -1.450  -1.700  -1.873  -1.897  0.4787  0.0000  0.7 1   -13.488 3.3074016571
    8.50    3.1975572109    3.1976  2.2696  3.8051  2.8398  -0.904  -0.348  -0.483  -0.941  -1.220  -1.463  -1.772  -1.995  -2.025  0.4787  0.0000  0.8 1   -13.488 3.3074088097
    8.50    3.1979763508    3.1980  2.2398  3.7799  2.7688  -0.829  -0.076  -0.259  -0.828  -1.161  -1.449  -1.821  -2.100  -2.136  0.4787  0.0000  0.9 1   -13.488 3.3074159622
    8.50    3.1983888149    3.1984  2.2005  3.7578  2.7195  -0.731  0.260   -0.008  -0.685  -1.066  -1.394  -1.825  -2.156  -2.197  0.4787  0.0000  1.0 1   -13.488 3.3074231148
    8.50    3.1988010406    3.1988  2.1487  3.7388  2.6956  -0.602  0.634   0.267   -0.506  -0.930  -1.291  -1.777  -2.155  -2.201  0.4787  0.0000  1.0 1   -13.488 3.3074300289
    8.50    3.1992068291    3.1992  2.0879  3.7228  2.6923  -0.450  1.014   0.549   -0.307  -0.767  -1.155  -1.691  -2.111  -2.160  0.4787  0.0000  1.0 1   -13.488 3.3074371815
    8.50    3.1996057034    3.1996  2.0419  3.7093  2.6843  -0.335  1.349   0.783   -0.143  -0.633  -1.045  -1.626  -2.083  -2.138  0.4787  0.0000  1.0 1   -13.488 3.3074438572
    8.50    3.1998035908    3.1998  2.0337  3.7035  2.6695  -0.314  1.463   0.854   -0.101  -0.605  -1.027  -1.627  -2.100  -2.157  0.4787  0.0000  1.1 1   -13.488 3.3074471951
    8.50    3.2003519535    3.2004  2.0823  3.6896  2.5652  -0.436  1.595   0.866   -0.159  -0.697  -1.146  -1.795  -2.310  -2.373  0.4787  0.0000  1.3 1   -13.487 3.3074567318
    8.50    3.2008965015    3.2009  2.1625  3.6805  2.4487  -0.636  1.572   0.757   -0.317  -0.877  -1.343  -2.026  -2.567  -2.635  0.4787  0.0000  1.6 1   -13.487 3.3074660301
