# File generated by CMD 2.2 (http://stev.oapd.inaf.it/cmd) on Tue Apr  6 21:54:41 CEST 2010
# Basic reference: Marigo et al. (2008, A&A 482, 883) 
# + Bertelli et al. (1994, A&AS, 106, 275) for the Mi>7.0 Msun interval
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# BCs of Carbon stars derive from Loidl et al. (2001)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
#   Isochrone   Z = 0.01900     Age =   1.000e+09 yr
# log(age/yr)   M_ini       M_act   logL/Lo logTe   logG    mbol    U       B       V       R       I       J       H       K   C/O M_hec   period  pmode   logMdot int_IMF
    9.00    0.1500000060    0.1500  -2.5104 3.5184  5.1441  11.046  16.053  14.569  12.995  11.863  10.484  9.220   8.675   8.423   0.4787  0.0000  0.0 1   -17.817 1.9609395266
    9.00    0.2000000030    0.2000  -2.2352 3.5400  5.0802  10.358  14.886  13.518  12.020  10.971  9.745   8.585   8.024   7.785   0.4787  0.0000  0.0 1   -17.692 2.2217822075
    9.00    0.2500000000    0.2500  -2.0464 3.5514  5.0342  9.886   14.179  12.866  11.408  10.398  9.250   8.141   7.568   7.338   0.4787  0.0000  0.0 1   -17.573 2.4080901146
    9.00    0.3000000119    0.3000  -1.8965 3.5606  4.9999  9.511   13.585  12.343  10.936  9.950   8.857   7.779   7.200   6.988   0.4787  0.0000  0.0 1   -16.636 2.5475041866
    9.00    0.3499999940    0.3500  -1.7672 3.5692  4.9721  9.188   13.067  11.890  10.528  9.563   8.517   7.466   6.883   6.688   0.4787  0.0000  0.0 1   -15.843 2.6555202007
    9.00    0.4000000060    0.4000  -1.6234 3.5769  4.9171  8.829   12.555  11.432  10.108  9.159   8.148   7.114   6.526   6.345   0.4787  0.0000  0.0 1   -15.157 2.7413372993
    9.00    0.4084501266    0.4085  -1.6013 3.5785  4.9104  8.773   12.472  11.353  10.035  9.090   8.093   7.064   6.472   6.294   0.4787  0.0000  0.0 1   -15.049 2.7541317940
    9.00    0.4499999881    0.4500  -1.5068 3.5860  4.8882  8.537   12.103  11.004  9.706   8.786   7.856   6.857   6.242   6.080   0.4787  0.0000  0.0 1   -14.551 2.8109800816
    9.00    0.5000000000    0.5000  -1.3861 3.5963  4.8543  8.235   11.619  10.542  9.269   8.386   7.554   6.598   5.948   5.808   0.4787  0.0000  0.0 1   -14.009 2.8684780598
    9.00    0.5500000119    0.5500  -1.2578 3.6076  4.8126  7.915   11.149  10.082  8.834   7.988   7.238   6.319   5.644   5.521   0.4787  0.0000  0.0 1   -13.519 2.9166350365
