# File generated by CMD 2.2 (http://stev.oapd.inaf.it/cmd) on Tue Apr  6 21:54:41 CEST 2010
# Basic reference: Marigo et al. (2008, A&A 482, 883) 
# + Bertelli et al. (1994, A&AS, 106, 275) for the Mi>7.0 Msun interval
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# BCs of Carbon stars derive from Loidl et al. (2001)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
#   Isochrone   Z = 0.01900     Age =   1.000e+10 yr
# log(age/yr)   M_ini       M_act   logL/Lo logTe   logG    mbol    U       B       V       R       I       J       H       K   C/O M_hec   period  pmode   logMdot int_IMF
    10.00   0.1500000060    0.1500  -2.5040 3.5192  5.1411  11.030  16.015  14.537  12.967  11.838  10.465  9.206   8.661   8.409   0.4787  0.0000  0.0 1   -17.817 1.9609395266
    10.00   0.2000000030    0.2000  -2.2165 3.5408  5.0646  10.311  14.820  13.458  11.965  10.918  9.697   8.540   7.978   7.739   0.4787  0.0000  0.0 1   -17.692 2.2217822075
    10.00   0.2500000000    0.2500  -2.0133 3.5518  5.0024  9.803   14.082  12.776  11.324  10.315  9.167   8.058   7.484   7.255   0.4787  0.0000  0.0 1   -17.573 2.4080901146
    10.00   0.3000000119    0.3000  -1.8505 3.5613  4.9569  9.396   13.458  12.224  10.822  9.836   8.742   7.662   7.084   6.873   0.4787  0.0000  0.0 1   -16.636 2.5475041866
    10.00   0.3499999940    0.3500  -1.7162 3.5700  4.9244  9.061   12.931  11.764  10.409  9.443   8.390   7.334   6.753   6.559   0.4787  0.0000  0.0 1   -15.843 2.6555202007
    10.00   0.4000000060    0.4000  -1.6060 3.5778  4.9033  8.785   12.498  11.378  10.059  9.111   8.105   7.072   6.482   6.303   0.4787  0.0000  0.0 1   -15.157 2.7413372993
    10.00   0.4068338275    0.4068  -1.5880 3.5792  4.8983  8.740   12.429  11.313  9.997   9.054   8.060   7.033   6.438   6.262   0.4787  0.0000  0.0 1   -15.069 2.7517199516
    10.00   0.4316573441    0.4317  -1.5270 3.5840  4.8821  8.587   12.193  11.089  9.786   8.858   7.907   6.898   6.290   6.124   0.4787  0.0000  0.0 1   -14.765 2.7870435715
    10.00   0.4423457980    0.4423  -1.5017 3.5860  4.8753  8.524   12.095  10.996  9.698   8.777   7.844   6.843   6.228   6.066   0.4787  0.0000  0.0 1   -14.639 2.8011989594
    10.00   0.4645486772    0.4645  -1.4423 3.5909  4.8571  8.376   11.859  10.771  9.485   8.582   7.696   6.715   6.083   5.932   0.4787  0.0000  0.0 1   -14.387 2.8288049698
    10.00   0.5000000000    0.5000  -1.3595 3.5979  4.8339  8.169   11.528  10.452  9.183   8.306   7.489   6.538   5.881   5.745   0.4787  0.0000  0.0 1   -14.009 2.8684780598
    10.00   0.5500000119    0.5500  -1.2253 3.6100  4.7897  7.833   11.043  9.976   8.733   7.895   7.159   6.245   5.566   5.446   0.4787  0.0000  0.0 1   -13.519 2.9166350365
    10.00   0.5606685281    0.5607  -1.1948 3.6130  4.7795  7.757   10.934  9.868   8.631   7.803   7.084   6.179   5.496   5.379   0.4787  0.0000  0.0 1   -13.420 2.9258897305
    10.00   0.6000000238    0.5999  -1.0897 3.6232  4.7446  7.494   10.554  9.495   8.280   7.485   6.825   5.950   5.255   5.149   0.4787  0.0000  0.0 1   -13.073 2.9573988914
    10.00   0.6350547671    0.6349  -0.9845 3.6345  4.7092  7.231   10.122  9.102   7.927   7.170   6.558   5.719   5.036   4.940   0.4787  0.0000  0.0 1   -12.781 2.9824581146
    10.00   0.6899116635    0.6897  -0.8254 3.6519  4.6555  6.834   9.443   8.502   7.392   6.696   6.150   5.369   4.718   4.635   0.4787  0.0000  0.0 1   -12.355 3.0167925358
    10.00   0.6999999881    0.6998  -0.7967 3.6551  4.6459  6.762   9.314   8.395   7.298   6.613   6.076   5.306   4.664   4.584   0.4787  0.0000  0.0 1   -12.281 3.0225379467
    10.00   0.7065185905    0.7063  -0.7755 3.6579  4.6402  6.709   9.211   8.310   7.224   6.550   6.021   5.261   4.628   4.550   0.4787  0.0000  0.0 1   -12.236 3.0261659622
    10.00   0.7432795167    0.7430  -0.6560 3.6747  4.6099  6.410   8.615   7.827   6.806   6.192   5.708   5.010   4.429   4.361   0.4787  0.0000  0.0 1   -11.974 3.0454688072
    10.00   0.7750316858    0.7747  -0.5524 3.6898  4.5846  6.151   8.095   7.426   6.462   5.897   5.445   4.799   4.266   4.205   0.4787  0.0000  0.0 1   -11.758 3.0607109070
    10.00   0.8000000119    0.7996  -0.4708 3.7014  4.5632  5.947   7.693   7.115   6.195   5.667   5.238   4.634   4.137   4.081   0.4787  0.0000  0.0 1   -11.618 3.0718705654
    10.00   0.8175317049    0.8171  -0.4119 3.7092  4.5448  5.800   7.423   6.906   6.016   5.509   5.095   4.515   4.040   3.988   0.4787  0.0000  0.0 1   -11.548 3.0792973042
    10.00   0.8407584429    0.8402  -0.3333 3.7190  4.5179  5.603   7.070   6.631   5.779   5.299   4.902   4.355   3.908   3.860   0.4787  0.0000  0.0 1   -11.508 3.0886478424
    10.00   0.8618512154    0.8612  -0.2610 3.7278  4.4914  5.423   6.756   6.383   5.567   5.109   4.728   4.207   3.785   3.740   0.4787  0.0000  0.0 1   -11.534 3.0966923237
    10.00   0.8812385201    0.8805  -0.1939 3.7354  4.4641  5.255   6.481   6.162   5.378   4.937   4.568   4.070   3.668   3.625   0.4787  0.0000  0.0 1   -11.616 3.1037385464
    10.00   0.8994697332    0.8987  -0.1303 3.7419  4.4354  5.096   6.230   5.957   5.201   4.775   4.417   3.938   3.552   3.511   0.4787  0.0000  0.0 1   -11.739 3.1100804806
    10.00   0.8999999762    0.8992  -0.1284 3.7420  4.4344  5.091   6.223   5.951   5.196   4.770   4.412   3.934   3.549   3.508   0.4787  0.0000  0.0 1   -11.743 3.1102609634
    10.00   0.9121424556    0.9112  -0.0827 3.7460  4.4103  4.977   6.052   5.809   5.071   4.654   4.302   3.836   3.461   3.421   0.4787  0.0000  0.0 1   -11.848 3.1143360138
    10.00   0.9257839322    0.9248  -0.0302 3.7502  4.3810  4.845   5.862   5.648   4.928   4.521   4.176   3.722   3.357   3.319   0.4787  0.0000  0.0 1   -11.981 3.1187834740
    10.00   0.9322537184    0.9312  -0.0058 3.7517  4.3657  4.784   5.783   5.577   4.864   4.460   4.117   3.668   3.307   3.269   0.4787  0.0000  0.0 1   -12.049 3.1208460331
    10.00   0.9381859303    0.9371  0.0173  3.7532  4.3512  4.727   5.709   5.510   4.804   4.403   4.062   3.617   3.259   3.222   0.4787  0.0000  0.0 1   -12.113 3.1227118969
    10.00   0.9455478787    0.9444  0.0459  3.7549  4.3328  4.655   5.617   5.427   4.729   4.331   3.994   3.553   3.199   3.163   0.4787  0.0000  0.0 1   -12.195 3.1249938011
    10.00   0.9477325082    0.9465  0.0542  3.7553  4.3273  4.635   5.591   5.404   4.707   4.311   3.974   3.534   3.181   3.145   0.4787  0.0000  0.0 1   -12.220 3.1256639957
    10.00   0.9497490525    0.9485  0.0612  3.7556  4.3224  4.617   5.570   5.384   4.689   4.293   3.957   3.518   3.166   3.130   0.4787  0.0000  0.0 1   -12.243 3.1262798309
    10.00   0.9582009912    0.9569  0.0911  3.7568  4.3011  4.542   5.481   5.302   4.612   4.219   3.884   3.449   3.099   3.063   0.4787  0.0000  0.0 1   -12.340 3.1288318634
    10.00   0.9650494456    0.9637  0.1165  3.7578  4.2827  4.479   5.406   5.232   4.546   4.155   3.822   3.390   3.042   3.007   0.4787  0.0000  0.0 1   -12.419 3.1308662891
    10.00   0.9954503775    0.9937  0.2441  3.7594  4.1747  4.160   5.069   4.901   4.223   3.837   3.506   3.078   2.735   2.700   0.4787  0.0000  0.0 1   -12.769 3.1395509243
    10.00   1.0000000000    0.9982  0.2653  3.7581  4.1504  4.107   5.031   4.856   4.172   3.784   3.451   3.019   2.673   2.638   0.4787  0.0000  0.1 1   -12.819 3.1408040524
    10.00   1.0121308565    1.0101  0.3234  3.7545  4.0830  3.962   4.927   4.732   4.034   3.638   3.299   2.858   2.504   2.467   0.4787  0.0000  0.1 1   -12.951 3.1440868378
    10.00   1.0239994526    1.0217  0.3738  3.7416  3.9860  3.835   4.969   4.693   3.938   3.516   3.156   2.677   2.292   2.251   0.4787  0.0000  0.1 1   -13.074 3.1472172737
    10.00   1.0297979116    1.0273  0.3783  3.7255  3.9193  3.824   5.183   4.799   3.970   3.513   3.127   2.599   2.175   2.128   0.4787  0.0000  0.1 1   -13.132 3.1487183571
    10.00   1.0332101583    1.0307  0.3717  3.7093  3.8626  3.841   5.452   4.945   4.047   3.551   3.137   2.556   2.086   2.033   0.4787  0.0000  0.1 1   -13.166 3.1495933533
    10.00   1.0365153551    1.0339  0.4060  3.6958  3.7756  3.755   5.584   4.974   4.017   3.488   3.049   2.423   1.913   1.855   0.4787  0.0000  0.1 1   -13.198 3.1504347324
    10.00   1.0389456749    1.0362  0.4680  3.6895  3.6894  3.600   5.537   4.878   3.894   3.348   2.896   2.247   1.719   1.657   0.4787  0.0000  0.1 1   -13.221 3.1510498524
    10.00   1.0407149792    1.0379  0.5320  3.6864  3.6136  3.440   5.432   4.747   3.749   3.196   2.738   2.077   1.539   1.476   0.4787  0.0000  0.1 1   -13.237 3.1514956951
    10.00   1.0422075987    1.0393  0.5983  3.6841  3.5387  3.274   5.307   4.604   3.594   3.035   2.573   1.904   1.359   1.295   0.4787  0.0000  0.1 1   -13.251 3.1518704891
    10.00   1.0434626341    1.0405  0.6611  3.6823  3.4693  3.117   5.183   4.464   3.445   2.882   2.416   1.741   1.191   1.126   0.4787  0.0000  0.2 1   -13.262 3.1521849632
    10.00   1.0445733070    1.0415  0.7232  3.6807  3.4012  2.962   5.060   4.325   3.297   2.730   2.261   1.580   1.026   0.960   0.4787  0.0000  0.2 1   -13.271 3.1524622440
    10.00   1.0455545187    1.0424  0.7854  3.6791  3.3329  2.807   4.937   4.186   3.148   2.578   2.106   1.419   0.861   0.794   0.4787  0.0000  0.2 1   -13.280 3.1527068615
    10.00   1.0464183092    1.0431  0.8472  3.6773  3.2643  2.652   4.818   4.049   3.002   2.427   1.952   1.259   0.696   0.628   0.4787  0.0000  0.2 1   -13.287 3.1529216766
    10.00   1.0471600294    1.0437  0.9083  3.6754  3.1959  2.499   4.703   3.916   2.857   2.279   1.800   1.100   0.531   0.463   0.4787  0.0000  0.3 1   -13.292 3.1531059742
    10.00   1.0478490591    1.0443  0.9705  3.6732  3.1252  2.344   4.592   3.784   2.714   2.130   1.646   0.938   0.363   0.293   0.4787  0.0000  0.3 1   -13.298 3.1532769203
    10.00   1.0484209061    1.0447  1.0296  3.6711  3.0578  2.196   4.487   3.660   2.579   1.990   1.501   0.784   0.202   0.131   0.4787  0.0000  0.3 1   -13.302 3.1534185410
    10.00   1.0489569902    1.0451  1.0903  3.6688  2.9879  2.044   4.384   3.535   2.442   1.846   1.352   0.626   0.036   -0.036  0.4787  0.0000  0.4 1   -13.305 3.1535511017
    10.00   1.0493856668    1.0453  1.1472  3.6665  2.9222  1.902   4.291   3.419   2.314   1.712   1.213   0.477   -0.120  -0.193  0.4787  0.0000  0.4 1   -13.307 3.1536571980
    10.00   1.0498119593    1.0455  1.2084  3.6640  2.8510  1.749   4.193   3.294   2.176   1.567   1.062   0.317   -0.288  -0.363  0.4787  0.0000  0.5 1   -13.309 3.1537623405
    10.00   1.0501928329    1.0457  1.2706  3.6615  2.7789  1.594   4.093   3.168   2.036   1.420   0.910   0.155   -0.458  -0.535  0.4787  0.0000  0.5 1   -13.311 3.1538562775
    10.00   1.0505307913    1.0458  1.3279  3.6590  2.7116  1.450   4.005   3.053   1.907   1.285   0.769   0.004   -0.617  -0.695  0.4787  0.0000  0.6 1   -13.312 3.1539397240
    10.00   1.0508568287    1.0458  1.3867  3.6562  2.6417  1.303   3.919   2.938   1.777   1.148   0.626   -0.151  -0.780  -0.861  0.4787  0.0000  0.7 1   -13.312 3.1540200710
    10.00   1.0512588024    1.0457  1.4360  3.6541  2.5839  1.180   3.843   2.839   1.667   1.032   0.505   -0.280  -0.916  -0.998  0.4787  0.0000  0.8 1   -13.311 3.1541190147
    10.00   1.0515824556    1.0457  1.3745  3.6578  2.6600  1.334   3.919   2.952   1.798   1.173   0.654   -0.116  -0.740  -0.820  0.4787  0.0000  0.7 1   -13.311 3.1541986465
    10.00   1.0516331196    1.0457  1.3643  3.6584  2.6727  1.359   3.931   2.971   1.820   1.196   0.679   -0.089  -0.711  -0.790  0.4787  0.0000  0.7 1   -13.311 3.1542110443
    10.00   1.0518720150    1.0457  1.4229  3.6555  2.6024  1.213   3.848   2.857   1.691   1.060   0.536   -0.243  -0.875  -0.956  0.4787  0.0000  0.7 1   -13.311 3.1542696953
    10.00   1.0521240234    1.0456  1.4833  3.6525  2.5301  1.062   3.763   2.740   1.558   0.919   0.389   -0.403  -1.044  -1.127  0.4787  0.0000  0.8 1   -13.310 3.1543316841
    10.00   1.0523786545    1.0454  1.5493  3.6490  2.4502  0.897   3.679   2.617   1.416   0.767   0.228   -0.577  -1.230  -1.315  0.4787  0.0000  1.0 1   -13.309 3.1543941498
    10.00   1.0526152849    1.0452  1.6202  3.6452  2.3636  0.720   3.602   2.493   1.270   0.608   0.058   -0.764  -1.429  -1.518  0.4787  0.0000  1.1 1   -13.306 3.1544523239
    10.00   1.0528135300    1.0448  1.6849  3.6416  2.2845  0.558   3.532   2.380   1.136   0.463   -0.097  -0.934  -1.612  -1.703  0.4787  0.0000  1.3 1   -13.303 3.1545009613
    10.00   1.0530092716    1.0443  1.7579  3.6375  2.1949  0.375   3.457   2.253   0.986   0.300   -0.272  -1.127  -1.818  -1.912  0.4787  0.0000  1.5 1   -13.299 3.1545488834
    10.00   1.0531535149    1.0438  1.8168  3.6341  2.1223  0.228   3.399   2.152   0.865   0.169   -0.413  -1.282  -1.985  -2.082  0.4787  0.0000  1.7 1   -13.294 3.1545844078
    10.00   1.0532978773    1.0431  1.8834  3.6302  2.0397  0.062   3.337   2.039   0.730   0.022   -0.572  -1.458  -2.175  -2.274  0.4787  0.0000  2.0 1   -13.288 3.1546196938
    10.00   1.0534189939    1.0424  1.9513  3.6259  1.9543  -0.108  3.284   1.928   0.594   -0.127  -0.733  -1.638  -2.369  -2.472  0.4787  0.0000  2.3 1   -13.281 3.1546494961
    10.00   1.0535247326    1.0415  2.0143  3.6217  1.8741  -0.266  3.251   1.839   0.480   -0.258  -0.881  -1.805  -2.550  -2.657  0.4787  0.0000  2.6 1   -13.273 3.1546752453
    10.00   1.0536046028    1.0406  2.0704  3.6180  1.8031  -0.406  3.224   1.760   0.379   -0.373  -1.012  -1.953  -2.710  -2.820  0.4787  0.0000  3.0 1   -13.265 3.1546947956
    10.00   1.0536949635    1.0394  2.1351  3.6134  1.7194  -0.568  3.204   1.676   0.266   -0.503  -1.162  -2.125  -2.898  -3.012  0.4787  0.0000  3.4 1   -13.254 3.1547169685
    10.00   1.0537619591    1.0382  2.1958  3.6095  1.6423  -0.719  3.178   1.591   0.157   -0.628  -1.303  -2.285  -3.071  -3.190  0.4787  0.0000  3.9 1   -13.243 3.1547334194
    10.00   1.0538290739    1.0367  2.2611  3.6055  1.5607  -0.883  3.143   1.495   0.035   -0.766  -1.456  -2.457  -3.256  -3.378  0.4787  0.0000  4.5 1   -13.229 3.1547498703
    10.00   1.0538780689    1.0353  2.3165  3.6010  1.4865  -1.021  3.147   1.434   -0.055  -0.874  -1.583  -2.605  -3.419  -3.547  0.4787  0.0000  5.1 1   -13.217 3.1547617912
    10.00   1.0539323092    1.0333  2.3819  3.5962  1.4010  -1.185  3.120   1.365   -0.147  -0.988  -1.729  -2.780  -3.608  -3.741  0.4787  0.0000  6.0 1   -13.198 3.1547751427
    10.00   1.0539813042    1.0310  2.4442  3.5913  1.3183  -1.341  3.093   1.308   -0.227  -1.090  -1.865  -2.947  -3.790  -3.927  0.4787  0.0000  6.9 1   -13.177 3.1547870636
    10.00   1.0540200472    1.0287  2.5013  3.5868  1.2423  -1.483  3.068   1.257   -0.299  -1.184  -1.989  -3.100  -3.956  -4.098  0.4787  0.0000  7.9 1   -13.157 3.1547966003
    10.00   1.0540612936    1.0255  2.5698  3.5810  1.1493  -1.654  3.047   1.204   -0.379  -1.292  -2.136  -3.283  -4.158  -4.306  0.4787  0.0000  9.2 1   -13.128 3.1548066139
    10.00   1.0540922880    1.0225  2.6285  3.5766  1.0716  -1.801  3.015   1.147   -0.457  -1.391  -2.263  -3.439  -4.329  -4.482  0.4787  0.0000  10.6    1   -13.101 3.1548142433
    10.00   1.0541206598    1.0191  2.6847  3.5718  0.9946  -1.942  2.977   1.154   -0.462  -1.437  -2.362  -3.595  -4.497  -4.655  0.4787  0.0000  12.1    1   -13.070 3.1548211575
    10.00   1.0541465282    1.0151  2.7437  3.5665  0.9127  -2.089  2.921   1.193   -0.427  -1.455  -2.452  -3.761  -4.676  -4.838  0.4787  0.0000  14.0    1   -13.034 3.1548275948
    10.00   1.0541697741    1.0107  2.8007  3.5607  0.8309  -2.232  2.858   1.249   -0.371  -1.456  -2.533  -3.925  -4.853  -5.019  0.4787  0.0000  16.1    1   -12.995 3.1548333168
    10.00   1.0541930199    1.0049  2.8628  3.5537  0.7380  -2.387  2.780   1.334   -0.280  -1.435  -2.611  -4.105  -5.052  -5.223  0.4787  0.0000  18.9    1   -12.946 3.1548388004
    10.00   1.0542110205    0.9993  2.9175  3.5492  0.6632  -2.524  2.699   1.358   -0.249  -1.451  -2.693  -4.257  -5.216  -5.389  0.4787  0.0000  21.6    1   -12.518 3.1548433304
    10.00   1.0542291403    0.9923  2.9718  3.5414  0.5745  -2.660  2.797   1.601   0.013   -1.297  -2.676  -4.416  -5.389  -5.573  0.4787  0.0000  25.3    1   -11.787 3.1548478603
    10.00   1.0542446375    0.9847  3.0278  3.5371  0.4981  -2.800  2.784   1.667   0.089   -1.279  -2.732  -4.568  -5.549  -5.739  0.4787  0.0000  28.9    1   -11.142 3.1548514366
    10.00   1.0542601347    0.9751  3.0872  3.5311  0.4102  -2.948  2.814   1.811   0.249   -1.202  -2.762  -4.734  -5.727  -5.925  0.4787  0.0000  33.8    1   -10.398 3.1548552513
    10.00   1.0542730093    0.9650  3.1386  3.5246  0.3282  -3.077  2.880   2.001   0.455   -1.087  -2.761  -4.882  -5.886  -6.093  0.4787  0.0000  39.1    1   -9.698  3.1548585892
    10.00   1.0542858839    0.9524  3.1944  3.5179  0.2399  -3.216  2.991   2.238   0.694   -0.946  -2.727  -5.037  -6.050  -6.263  0.4787  0.0000  98.8    0   -10.368 3.1548616886
    10.00   1.0542962551    0.9396  3.2440  3.5119  0.1606  -3.340  3.092   2.451   0.908   -0.820  -2.696  -5.175  -6.197  -6.415  0.4787  0.0000  117.9   0   -9.747  3.1548640728
    10.00   1.0543066263    0.9238  3.2955  3.5055  0.0762  -3.469  3.202   2.681   1.139   -0.683  -2.661  -5.319  -6.349  -6.573  0.4787  0.0000  142.1   0   -9.080  3.1548666954
    10.00   1.0543143749    0.9091  3.3402  3.4983  -0.0043 -3.580  3.340   2.952   1.407   -0.524  -2.599  -5.447  -6.484  -6.715  0.4787  0.0000  169.9   0   -8.444  3.1548686028
    10.00   1.0543195009    0.8976  3.3657  3.4947  -0.0497 -3.644  3.365   3.040   1.485   -0.503  -2.599  -5.518  -6.555  -6.789  0.4787  0.0000  187.9   0   -8.075  3.1548697948
    10.00   1.0543195009    0.8975  1.6164  3.6631  2.3731  0.729   3.268   2.304   1.152   0.545   0.041   -0.710  -1.309  -1.387  0.4787  0.0000  1.1 1   -11.734 3.1548697948
    10.00   1.0544177294    0.8977  1.6541  3.6596  2.3213  0.635   3.250   2.250   1.080   0.463   -0.050  -0.814  -1.425  -1.505  0.4787  0.0000  1.2 1   -11.736 3.1548938751
    10.00   1.0545620918    0.8978  1.6638  3.6583  2.3067  0.611   3.253   2.240   1.064   0.443   -0.072  -0.842  -1.457  -1.538  0.4787  0.0000  1.2 1   -11.737 3.1549291611
    10.00   1.0545947552    0.8979  1.6626  3.6587  2.3094  0.613   3.248   2.239   1.064   0.445   -0.070  -0.838  -1.452  -1.532  0.4787  0.0000  1.2 1   -11.737 3.1549370289
    10.00   1.0547542572    0.8981  1.6568  3.6603  2.3220  0.628   3.230   2.235   1.068   0.453   -0.057  -0.819  -1.427  -1.507  0.4787  0.0000  1.2 1   -11.739 3.1549761295
    10.00   1.0549172163    0.8983  1.6513  3.6614  2.3317  0.642   3.222   2.237   1.076   0.463   -0.045  -0.802  -1.407  -1.486  0.4787  0.0000  1.1 1   -11.741 3.1550159454
    10.00   1.0550843477    0.8985  1.6472  3.6622  2.3393  0.652   3.215   2.238   1.080   0.471   -0.036  -0.790  -1.392  -1.470  0.4787  0.0000  1.1 1   -11.742 3.1550567150
    10.00   1.0552549362    0.8987  1.6440  3.6628  2.3450  0.660   3.210   2.239   1.085   0.476   -0.028  -0.780  -1.380  -1.458  0.4787  0.0000  1.1 1   -11.744 3.1550984383
    10.00   1.0554283857    0.8990  1.6407  3.6634  2.3509  0.668   3.206   2.241   1.089   0.483   -0.021  -0.770  -1.368  -1.445  0.4787  0.0000  1.1 1   -11.746 3.1551406384
