RAh RAm RAs DEd DEm DEs DelV P    Bmag  Vmag  Rmag  Imag  # Name1 Name2 
5  1 54.37 -68 54 12.5 0.02  20.71 14.31 13.60 13.08 12.72 # Ogle 148920 
5  1 59.07 -69  5 17.2 0.20   2.88 17.47 16.67 16.27 15.82 # Ogle 193155 
5  2  0.75 -68 55 20.3 0.03  12.19 15.70 14.86 14.36 13.91 # Ogle 204548 
5  2  2.60 -68 43 33.7 0.07   2.26 17.24 16.63 16.27 15.97 # Ogle 214783 
5  2  5.59 -69  2 53.3 0.09   2.93 17.68 16.92 16.44 15.98 # Ogle 196999 
5  2 10.06 -69 32 23.5 0.06  14.49 14.84 14.09 13.62 13.27 # Ogle 167787 
5  2 12.28 -68 46 57.4 0.06   3.27 16.57 15.96 15.60 15.27 # Ogle 214750 
5  2 16.09 -69 27  2.8 0.06   4.99 15.54 14.91 14.48 14.18 # Ogle 170744 
5  2 20.21 -68 46 25.6 0.06   2.47 16.14 15.65 15.34 15.04 # Ogle 214740 
5  2 22.05 -68 52 20.2 0.03   2.69 16.68 16.20 15.85 15.53 # Ogle 208019 
5  2 33.53 -69 18 49.0 0.17   4.99 16.34 15.69 15.21 14.93 # Ogle 11554  
5  2 36.31 -68 44 39.7 0.04   2.57 16.45 15.99 15.72 15.45 # Ogle 54419  
5  2 44.29 -68 52 42.7 0.03   2.32 16.36 15.85 15.48 15.19 # Ogle 46315  
5  2 51.32 -68 47  3.5 0.04  10.85 15.52 14.69 14.23 13.86 # Ogle 50505  
5  2 51.59 -69 25 31.6 0.07   2.15 16.31 15.80 15.48 15.20 # Ogle 7198   
5  2 52.54 -68 50 33.2 0.03   3.07 16.39 15.84 15.47 15.10 # Ogle 50506  
5  2 57.01 -68 41 41.5 0.05   6.89 15.37 14.76 14.43 14.07 # Ogle 57956  
5  3  0.51 -69 26 38.9 0.09   2.56 17.13 16.44 16.03 15.77 # Ogle 3442   
5  3  6.65 -69 59 34.1 0.20   3.57 16.39 15.93 15.57 15.29 # Evs DV70    
5  3 10.99 -68 51 36.2 0.04   2.78 15.95 15.47 15.15 14.86 # Ogle 109671 
5  3 17.48 -68 49 31.8 0.06   0.91 18.15 17.83 17.58 17.33 # Ogle 114046 
5  3 19.01 -68 44 59.9 0.04   3.41 15.82 15.28 14.95 14.64 # Ogle 117534 
5  3 23.42 -69  0  1.4 0.03  10.71 15.60 14.78 14.30 13.88 # Ogle 100794 
5  3 24.06 -68 51 28.0 0.03   1.91 16.29 15.87 15.62 15.36 # Ogle 109715 
5  3 24.82 -68 46 19.3 0.03  12.64 15.10 14.43 13.92 13.58 # Ogle 117525 
5  3 26.15 -69  8 54.2 0.17  21.26 13.81 13.31 13.00 12.62 # Ogle 88441  
5  3 37.73 -69  3 45.2 0.03  12.20 15.31 14.58 14.10 13.67 # Ogle 96614  
5  3 38.74 -68 48 10.2 0.03   5.92 15.15 14.53 14.15 13.81 # Ogle 113861 
5  3 45.92 -68 52 34.7 0.03  22.31 14.99 14.00 13.51 13.05 # Ogle 109640 
5  3 48.66 -68 55  3.5 0.04   6.37 17.98 17.44 17.04 16.68 # Ogle 170192 
5  3 49.24 -68 56  1.0 0.03  25.81 14.56 13.67 13.15 12.71 # Ogle 170002 
5  3 51.01 -68 52 57.3 0.03   7.84 15.69 14.99 14.54 14.15 # Ogle 174756 
5  3 57.01 -68 50 22.6 0.02   9.71 15.40 14.67 14.22 13.85 # Ogle 178619 
5  3 58.90 -68 53 22.3 0.03   9.40 17.03 16.49 16.12 15.82 # Ogle 174795 
5  3 59.79 -68 38 53.3 0.11   7.48 16.03 15.30 14.86 14.44 # Ogle 189342 
5  4  4.97 -69  4 49.1 0.04   5.78 15.04 14.54 14.21 13.87 # Ogle 156632 
5  4  7.61 -69 12 33.2 0.20   2.19 16.30 15.83 15.53 15.25 # Ogle 148402 
5  4 13.89 -69  6  9.9 0.06   8.36 16.25 15.47 15.02 14.49 # Ogle 156647 
5  4 15.23 -69  1 34.6 0.03  17.21 14.47 13.78 13.34 12.98 # Ogle 160625 
5  4 17.84 -68 33 58.9 0.20   9.05 15.63 14.90 14.37 13.95 # Evs HV2297  
5  4 19.36 -68 55 47.4 0.03  20.65 15.14 14.32 13.82 13.37 # Ogle 170005 
5  4 20.78 -68 43 41.4 0.03  15.98 15.10 14.31 14.08 13.46 # Ogle 182466 
5  4 24.93 -69  7 36.9 0.09   3.03 17.83 17.06 16.56 16.00 # Ogle 156720 
5  4 31.29 -69 12 47.5 0.20   3.12 15.95 15.41 15.09 14.78 # Ogle 216164 
5  4 34.77 -68 52 34.6 0.04   3.28 17.08 16.40 15.98 15.56 # Ogle 244304 
5  4 47.39 -66  2  7.5 0.13   4.75 16.53 15.62 15.13 14.49 # Evs W49     
5  4 55.38 -66  0 12.3 0.17   3.92 16.31 15.72 15.35 15.09 # Evs W11     
5  5  2.81 -66 25  9.4 0.07   2.68 16.77 15.97 15.78 15.35 # Evs HV5541  
5  5  3.86 -68 44 39.4 0.04   2.07 16.28 16.18 15.91 15.77 # Ogle 35171  
5  5 10.53 -68 47 45.9 0.04   4.01 16.69 16.50 16.37 16.25 # Ogle 30676  
5  5 10.58 -68 39  5.6 0.13  53.75 18.72 17.90 17.51 16.81 # Ogle 45261  
5  5 11.22 -68 41 38.5 0.20  36.86  0.00 18.70 18.04 17.45 # Ogle 40648  
5  5 14.22 -68 46  5.9 0.04   4.38 16.22 15.60 15.23 14.87 # Ogle 35127  
5  5 23.71 -68 42  0.7 0.06   2.02 16.85 16.25 15.89 15.57 # Ogle 40265  
5  5 21.85 -68 24  6.1 0.20   2.42 16.50 16.26 15.79 15.67 # Ogle 60078  
5  5 26.14 -69 11 33.6 0.17   2.27 16.46 15.95 15.61 15.33 # Ogle 12     
5  5 30.32 -68 26 24.0 0.20   2.64 17.56 16.50 16.33 15.76 # Ogle 57113  
5  5 32.08 -68 41 30.7 0.07   1.75 16.63 16.11 15.83 15.51 # Ogle 40244  
5  5 38.29 -68 57 21.9 0.13   1.42 19.22 18.17 17.61 17.00 # Ogle 88334  
5  5 41.20 -65 59  6.4 0.06   3.60 16.35 15.77 15.45 15.13 # Evs HV12747 
5  5 41.73 -68 51  3.9 0.07   7.40 15.68 14.96 14.55 14.14 # Ogle 93279  
5  5 43.75 -68 59 50.1 0.07   1.62 17.55 16.96 16.64 16.24 # Ogle 83859  
5  5 45.55 -68 15 19.1 0.17   4.87 16.23 15.53 15.18 14.82 # Ogle 134718 
5  5 52.15 -69  9 28.5 0.17   4.68 16.12 15.54 15.15 14.82 # Ogle 69033  
5  6  5.48 -68 41 51.1 0.17   3.51 16.37 15.75 15.49 15.13 # Ogle 106993 
5  6  0.69 -69  6 15.9 0.13  21.11 15.07 14.05 13.49 12.99 # Ogle 74156  
5  6  0.87 -68 37 37.7 0.20   8.33 15.72 14.91 14.48 14.09 # Ogle 111968 
5  6 14.67 -68 51 55.4 0.13   4.65 15.32 14.77 14.44 14.10 # Ogle 160626 
5  6 14.66 -68 19  1.5 0.17   1.99 16.61 15.95 15.72 15.31 # Ogle 197484 
5  6 16.10 -68 47 19.2 0.17   2.04 16.59 16.01 15.68 15.33 # Ogle 165223 
5  6 16.61 -68 40 32.8 0.20  12.92 15.40 14.14 13.97 13.43 # Ogle 173745 
5  6 37.19 -68 23 38.7 0.09   1.30 18.11 17.85 17.54 17.25 # Ogle 194404 
5  6 38.88 -68 57 45.8 0.07   3.71 16.37 15.84 15.49 15.18 # Ogle 151864 
5  6 39.59 -68 25 11.1 0.07   8.71 15.37 14.69 14.29 13.93 # Ogle 194103 
5  6 45.56 -69 12 18.4 0.17   0.83 18.29 17.58 17.13 16.90 # Ogle 156517 
5  6 52.51 -68 43 23.9 0.11  12.73 15.66 14.72 14.20 13.73 # Ogle 173734 
5  6 52.61 -68 39 34.6 0.13  17.46 14.45 13.82 13.36 13.04 # Ogle 178831 
5  6 54.92 -68 38 13.2 0.11   4.81 15.68 15.52 15.34 14.86 # Ogle 247806 
5  6 56.00 -69  3 14.3 0.11  10.46 15.40 14.17 13.58 12.94 # Ogle 214116 
5  6 59.12 -69 18 18.8 0.13   4.03 16.90 16.15 15.69 15.29 # Ogle 202153 
5  7  1.78 -68 42 38.0 0.11   5.30 15.32 14.72 14.35 13.99 # Ogle 242678 
5  7  1.92 -69 10 16.5 0.09   2.16 16.51 15.96 15.57 15.28 # Ogle 203493 
5  7  2.17 -68 53 33.7 0.06   1.47 17.22 16.60 16.16 15.86 # Ogle 228682 
5  7  7.56 -68 53 18.3 0.06  31.05 14.05 13.26 12.83 12.43 # Ogle 228645 
5  7 15.02 -68 41 34.6 0.07   3.45 16.20 15.56 15.18 14.79 # Ogle 242700 
5  7 18.24 -69  1 34.0 0.11   1.84 17.46 16.76 16.27 15.90 # Ogle 214195 
5  7 20.14 -70 27 15.2 0.11  26.36 14.07 13.25 12.70 12.36 # Evs HV902   
5  7 21.37 -68 20 16.8 0.03  14.46 15.23 14.37 13.90 13.47 # Ogle 267454 
5  7 22.95 -68 38 29.8 0.09   3.74 16.39 15.93 14.23 15.23 # Ogle 247801 
5  7 25.86 -68 53 18.7 0.05   4.20 16.32 15.70 15.33 15.01 # Ogle 228660 
5  7 29.90 -69 12 54.2 0.07   4.10 16.93 16.17 15.69 15.29 # Ogle 37982  
5  7 30.85 -70 13 44.2 0.17   5.02 16.55 16.40 16.16 15.91 # Evs DV297   
