RAh RAm RAs DEd DEm DEs DelV P    Bmag  Vmag  Rmag  Imag  # Name1 Name2 
5 19 14.69 -69 36 17.9 0.06  13.28 15.03 14.38 13.85 13.41 # Ogle 270379 
5 19 15.22 -69 41 28.0 0.13   5.58 16.10 15.42 14.90 14.55 # Ogle 262785 
5 19 17.05 -69 30 25.0 0.05   5.10 16.00 15.46 15.02 14.73 # Ogle 286535 
5 19 27.62 -69 30 30.1 0.05  21.61 15.11 14.01 13.44 12.97 # Ogle 286532 
5 19 31.38 -69 29  9.0 0.06   2.19 16.25 15.80 15.45 15.17 # Ogle 406371 
5 19 32.10 -69 36 33.6 0.06   1.91 17.15 16.56 16.18 15.78 # Ogle 388163 
5 19 32.23 -69  4 46.0 0.13   1.27 17.82 17.27 17.06 16.62 # Ogle 460292 
5 19 37.90 -69 37 44.2 0.04   5.67 16.11 15.37 14.92 14.54 # Ogle 388032 
5 19 39.10 -68 58 40.2 0.17   1.19 17.56 16.97 16.61 16.35 # Ogle 472718 
5 19 40.18 -69 34 18.9 0.06   3.53 16.61 16.08 15.70 15.37 # Ogle 397050 
5 19 40.77 -69 23 49.6 0.20   2.62 16.83 16.33 15.85 15.49 # Ogle 424890 
#5 19 50.82 -69 28 23.8 0.07   0.00 15.68 15.98 15.86 16.15 # Evs HV12015 
5 20  3.25 -69 25  1.2 0.13   1.74 16.64 16.19 15.76 15.52 # Ogle 85035  
5 20 10.23 -70  9  3.6 0.20   1.80  0.00 19.05 18.43 18.12 # Ogle 40943  
5 20 18.92 -69 26 45.7 0.11   2.95 15.56 15.12 14.82 14.61 # Ogle 75997  
5 20 22.91 -69  2 16.8 0.13  31.96 13.83 13.14 12.38 12.39 # Evs HV5761  
5 20 28.60 -69  1 31.2 0.06  13.95 14.99 14.22 13.81 13.35 # Evs HV2463  
5 20 31.04 -69 32 13.9 0.11   2.71 16.56 16.08 15.71 15.40 # Ogle 66641  
5 20 37.22 -69 30 56.6 0.13   8.69 15.61 14.86 14.41 14.02 # Ogle 66530  
5 20 42.29 -70  9 50.6 0.17   2.99 16.96 16.31 15.77 15.49 # Ogle 88984  
5 20 42.65 -70 15 26.9 0.20   3.37 15.70 15.23 14.79 14.55 # Ogle 85282  
5 20 54.17 -70 12 22.9 0.11   1.69 16.33 15.98 15.55 15.39 # Ogle 85343  
#5 21  4.88 -70 12 18.4 0.11   0.00 15.98 15.68 15.20 15.04 # KMS new4    
5 21  4.39 -69 35  5.5 0.17   1.36 17.02 16.43 16.08 15.75 # Ogle 179066 
5 21  5.06 -69 40 35.6 0.17   4.26 16.81 16.01 15.58 15.11 # Ogle 170439 
5 21 12.38 -69  3  6.9 0.13  23.57 14.01 13.31 12.91 12.53 # Evs HV938   
5 21 16.42 -70 11 25.3 0.09   4.50 16.51 15.79 15.26 14.97 # Ogle 136142 
5 21 20.05 -69 40 54.6 0.17   1.62 16.61 16.11 15.80 15.48 # Ogle 280559 
5 21 22.35 -70 10 31.6 0.09   2.67 16.06 15.57 15.11 14.85 # Ogle 136150 
5 21 26.69 -70  8 38.2 0.20   3.77 15.95 15.32 14.93 14.53 # Ogle 136158 
5 21 56.03 -70 15 41.3 0.20   1.07 18.06 16.70 15.82 15.02 # Ogle 179043 
5 21 58.57 -70 16 35.1 0.20   1.49 18.52 18.11 17.72 17.50 # Ogle 179265 
5 22  1.07 -68 51 32.1 0.13   6.32 15.96 15.27 14.80 14.43 # Evs HV2470  
5 22  6.62 -70 16 11.3 0.20   1.08 17.27 16.84 16.40 16.20 # Eros 4018   
#5 22 42.54 -68 51  2.6 0.13   0.00 13.88 13.86 13.63 13.68 # KMS new2    
5 23 35.03 -69 27 35.4 0.20   4.94 17.04 17.22 17.20 17.29 # Ogle 201322 
5 24 13.11 -69 30  1.1 0.11  13.13 15.74 14.78 14.37 13.84 # Ogle 315434 
5 24 33.34 -69 56 25.5 0.20   5.85 18.78 17.51 16.96 16.43 # Ogle 364380 
5 24 43.37 -69 30 26.2 0.17   6.70 16.01 15.34 14.98 14.50 # Ogle 432746 
5 24 50.23 -70  3 58.3 0.13   2.44 15.93 15.40 15.11 14.84 # Ogle 349510 
5 24 52.63 -70  0 56.2 0.13   2.94 16.91 16.21 15.82 15.48 # Ogle 356870 
5 25  4.12 -70  6 30.4 0.17   5.01 16.57 15.78 15.31 14.91 # Ogle 13514  
5 25 10.45 -70  5 11.0 0.11   2.92 15.81 15.24 14.94 14.67 # Ogle 20960  
5 25 12.83 -69 56 51.7 0.07   3.48 15.73 15.12 14.82 14.49 # Ogle 36200  
5 25 15.22 -69 51  0.0 0.09   6.62 16.16 15.25 14.83 14.43 # Ogle 53458  
5 25 17.97 -69 49 37.8 0.09   5.94 15.94 15.19 14.93 14.43 # Ogle 53468  
5 25 18.52 -69 27  5.4 0.20   1.87 17.48 17.00 16.68 16.24 # Ogle 105884 
5 25 21.07 -69 50 17.8 0.09   5.98 16.48 15.60 15.18 14.67 # Ogle 53514  
5 25 21.37 -69 49  1.9 0.07   5.23 15.94 15.11 14.54 14.56 # Ogle 53552  
5 25 23.40 -69 52 33.0 0.07   1.16 17.56 17.07 16.70 16.49 # Ogle 45203  
5 25 26.28 -69 49 50.0 0.07   1.29 18.13 17.44 17.07 16.55 # Eros 3002   
5 25 27.17 -69 49 29.6 0.09   6.41 15.95 15.16 14.72 14.41 # Ogle 53546  
5 25 28.46 -70 11 59.7 0.20   4.08 16.39 15.72  0.00 14.97 # Ogle 6353   
5 25 28.79 -69 54 45.1 0.04   6.06 16.09 15.36 14.99 14.55 # Ogle 44876  
5 25 28.93 -69 50  3.6 0.09   9.38 17.57 16.34 15.74 14.95 # Ogle 53528  
5 25 29.27 -69 55 13.2 0.04   6.81 16.38 15.48 14.94 14.52 # Ogle 36266  
5 25 30.24 -69 52 16.2 0.06   7.18 15.65 14.89 14.55 14.13 # Ogle 44867  
5 25 30.32 -69 50 13.9 0.07   5.57 15.88 15.49 15.06 14.64 # Ogle 53518  
5 25 31.43 -69 50  4.1 0.07   7.68 16.95 15.92 15.30 14.78 # Ogle 53527  
5 25 34.41 -69 50  8.6 0.07   5.40 16.52 15.33 14.84 14.41 # Ogle 53463  
5 25 35.39 -71  8  6.5 0.20   6.78 15.68 14.95 14.61 14.20 # Evs HV2523  
5 25 39.12 -71  6 40.0 0.20  12.95 15.49 14.62 14.16 13.73 # Evs HV2527  
5 25 39.81 -70  1 33.6 0.07   1.89 17.03 16.40 16.00 15.65 # Ogle 152290 
5 25 40.59 -69 50 13.9 0.07   8.80 16.05 15.13 14.73 14.32 # Ogle 176266 
5 25 41.21 -69 50 53.1 0.07   6.81 15.60 14.61 14.13 13.65 # Ogle 176263 
5 25 44.50 -69 49 47.0 0.07   2.98 15.75 15.18 14.90 14.58 # Ogle 176307 
5 25 48.50 -67 21  6.6 0.07  13.73 14.54 14.02 13.62 13.24 # Evs HV955   
5 25 52.59 -70  5 31.1 0.07   2.14 16.07 15.60 15.27 15.03 # Ogle 145322 
5 25 53.15 -69 53 11.2 0.04   3.08 16.29 15.63 15.27 14.90 # Ogle 167981 
5 25 54.90 -69 54 52.0 0.04   4.68 16.32 15.64 15.28 14.90 # Ogle 167947 
5 25 56.34 -70  9  1.7 0.11   2.02 16.77 16.10 15.80 15.41 # Ogle 138319 
5 25 59.15 -69 49 14.6 0.06   1.11 17.25 16.66 16.39 16.10 # Eros 4019   
5 25 58.65 -70  9 50.0 0.17   3.12 15.74 15.11 14.76 14.48 # Ogle 131738 
5 25 59.15 -69 54 49.8 0.04  12.36 15.63 14.67 14.20 13.73 # Ogle 167923 
5 26  0.53 -69 53 34.2 0.04   3.14 16.28 15.57 15.20 14.83 # Ogle 167975 
5 26  2.04 -69 52 10.6 0.06   0.73 17.58 17.11 16.84 16.61 # Ogle 168269 
5 26  6.25 -69 50 25.1 0.06   7.29 15.98 15.14 14.70 14.26 # Ogle 176264 
5 26  7.95 -69 51 32.2 0.06   5.60 16.03 15.24 14.94 14.53 # Ogle 176276 
5 26 18.03 -69 48 33.8 0.09   5.28 16.28 15.33 14.98 14.55 # Ogle 295958 
5 26 19.03 -69 48  9.1 0.13   4.04 16.53 15.64 15.41 14.95 # Ogle 296040 
5 26 19.60 -69 53 19.2 0.07   2.24 16.01 15.46 15.23 14.95 # Ogle 287408 
5 26 25.48 -69 53 21.2 0.05   3.21 15.57 15.00 14.76 14.46 # Ogle 287407 
5 26 27.18 -69 58 57.7 0.06   1.26 18.48 17.98 17.74 17.37 # Ogle 272276 
5 26 28.88 -69 51 20.6 0.06   3.09 16.61 15.84 15.70 15.27 # Ogle 296047 
5 26 32.17 -69 50 26.8 0.07   4.13 17.64 16.52 15.70 14.83 # Ogle 296000 
5 26 33.38 -70  6 56.7 0.07   2.18 16.84 16.21 15.77 15.40 # Ogle 257661 
5 26 36.13 -69 49 19.0 0.07   3.55 16.41 15.81 15.44 15.11 # Ogle 296023 
5 26 38.06 -70  9  2.2 0.09   3.13 16.92 16.17 15.78 15.43 # Ogle 257644 
5 26 44.67 -69 48 10.2 0.09   7.52 15.51 14.90 14.57 14.15 # Ogle 295966 
5 26 48.75 -69 51 34.3 0.07   4.17 15.36 14.82 14.43 14.17 # Ogle 295932 
5 26 52.31 -70  8 29.3 0.09   2.71 16.90 16.32 15.87 15.59 # Ogle 257687 
5 26 55.48 -70  1  4.6 0.04   4.94 15.85 15.27 14.87 14.56 # Ogle 271225 
5 26 55.89 -69 58 49.4 0.03  28.10 15.01 13.81 13.28 12.77 # Evs HV2540  
5 26 55.82 -70  4 47.9 0.05   7.17 15.95 15.18 14.77 14.37 # Ogle 264185 
5 26 59.46 -69 51 11.1 0.05   5.88 15.64 14.99 14.65 14.32 # Ogle 417848 
5 27  0.59 -71 38 35.8 0.07  16.21 14.34 13.67 13.36 12.93 # Evs HV2549  
5 27  0.74 -69 47 47.1 0.13   0.67 17.84 17.39 17.19 16.88 # Ogle 427313 
5 27  3.54 -70  1 34.6 0.04   4.48 16.31 15.66 15.27 14.90 # Ogle 391242 
5 27  4.99 -69 50 45.1 0.06   8.07 15.72 14.93 14.55 14.19 # Ogle 417853 
5 27  7.81 -68 29 43.0 0.11  13.87 15.32 14.50 14.05 13.53 # Evs HV2538  
5 27 11.33 -69 56 14.2 0.04   2.60 15.98 15.43 15.14 14.87 # Ogle 399434 
5 27 15.04 -70  0 47.2 0.04   4.46 15.85 15.26 14.98 14.66 # Ogle 391223 
5 27 17.16 -69 58 53.7 0.03   1.58 17.38 16.83 16.53 16.24 # Ogle 391365 
5 27 21.07 -70  0 40.0 0.03   3.48 16.12 15.44 15.10 14.74 # Ogle 391255 
5 27 21.28 -69 52 20.1 0.07   7.07 15.66 14.86 14.62 14.16 # Ogle 408742 
5 27 22.97 -69 50 58.6 0.07   7.37 15.98 15.13 14.73 14.32 # Ogle 417850 
5 27 32.64 -69 49 15.4 0.07   4.58 15.42 14.76 14.44 14.11 # Ogle 53242  
5 27 34.02 -69 51 23.1 0.06   7.50 15.45 14.58 14.36 13.87 # Ogle 53226  
5 27 36.70 -69 53 43.6 0.04   7.32 15.48 14.77 14.38 14.08 # Ogle 44256  
5 27 37.60 -69 57 53.2 0.04   4.02 15.40 14.92 14.56 14.27 # Ogle 35233  
5 27 36.97 -69 56 27.6 0.03   3.71 16.63 15.96 15.52 15.18 # Ogle 35297  
5 27 40.02 -69 55 46.5 0.03   2.77 16.17 15.56 15.26 14.93 # Ogle 35307  
5 27 42.95 -70  0 50.6 0.03  15.84 15.12 14.12 13.65 13.17 # Ogle 26910  
5 27 43.51 -70  8 43.1 0.09   2.76 16.93 16.26 15.85 15.55 # Ogle 11987  
5 27 49.52 -69 46 17.6 0.13   1.47 17.00 16.46 16.11 15.86 # Ogle 62742  
5 27 55.03 -69 48  4.2 0.07   7.44 15.38 14.71 14.36 13.96 # Ogle 62624  
5 27 57.74 -69 53 49.1 0.03   2.54 17.14 16.52 16.16 15.80 # Ogle 44391  
5 28 15.62 -67  3 58.4 0.06   9.30 14.95 14.48 14.08 13.73 # Evs HV971   
5 28 19.69 -69 58  0.2 0.03   3.42 16.59 15.94 15.59 15.27 # Ogle 153983 
5 28 22.91 -69 51 36.9 0.06   2.09 16.41 15.86 15.57 15.26 # Ogle 170223 
5 28 23.13 -69 52  4.4 0.06   2.58 15.90 15.38 14.99 14.78 # Ogle 162180 
5 28 29.66 -69 52 37.2 0.05   7.23 15.69 14.89 14.53 14.10 # Ogle 162132 
5 28 31.43 -69 58 10.1 0.04   5.04 16.18 15.52 15.14 14.70 # Ogle 153982 
5 28 31.93 -69 50 54.6 0.06   7.57 15.93 15.06 14.66 14.22 # Ogle 170205 
5 28 35.12 -69 51 23.8 0.06   6.89 15.36 14.81 14.47 14.12 # Ogle 170203 
5 28 38.13 -69 58  2.5 0.04  12.26 15.37 14.49 14.07 13.59 # Ogle 153951 
5 28 43.58 -69 50  3.6 0.07   5.29 16.05 15.35 14.75 14.62 # Ogle 170248 
5 28 45.49 -69 52  7.1 0.05   6.52 16.13 15.13 14.75 14.49 # Ogle 162135 
5 28 51.46 -69 50  4.8 0.07   4.12 16.33 15.61 15.21 14.85 # Ogle 282040 
5 28 53.62 -70  4 10.6 0.05   4.61 17.72 16.70 16.13 15.48 # Ogle 250776 
5 28 57.77 -70  7 16.1 0.11   1.04 17.60 16.95 16.80 16.61 # Ogle 243639 
5 29  2.94 -69 53 25.4 0.04   2.45 16.32 15.73 15.37 15.02 # Ogle 274410 
5 29  5.92 -70  5 40.9 0.09   2.37 15.99 15.48 15.21 14.93 # Ogle 250696 
5 29  8.29 -69 56  4.8 0.06  10.01 17.09 16.51 16.15 15.78 # Ogle 266664 
5 29 12.51 -69 53 27.2 0.05   4.04 15.81 15.22 14.85 14.47 # Ogle 274376 
5 29 14.58 -69 31  5.8 0.17   7.41 16.04 15.17 14.82 14.35 # Ogle 317016 
5 29 15.30 -69 30 41.0 0.17   2.35 15.77 15.35 15.12 14.87 # Ogle 317051 
5 29 16.53 -67 28 21.9 0.06  13.43 14.70 14.04 13.63 13.24 # Evs HV2579  
5 29 19.25 -69 49 54.0 0.09   2.36 16.45 15.78 15.51 15.05 # Ogle 282042 
5 29 21.44 -69 27 59.5 0.13   4.68 15.63 15.25 14.93 14.60 # Ogle 322990 
5 29 21.97 -69 18 44.3 0.09  11.26 15.60 14.74 14.28 13.84 # Evs HV2585  
5 29 25.66 -66 14 23.1 0.03  16.92 14.82 14.01 13.53 13.14 # Evs HV2580  
5 29 28.56 -69 48  0.7 0.09   4.07 17.45 16.94 16.67 16.32 # Ogle 290130 
5 29 33.22 -69 21  1.8 0.09   6.23 15.94 15.26 14.78 14.49 # Ogle 444282 
5 29 33.86 -70  0 33.4 0.07   4.92 16.24 15.55 15.15 14.77 # Ogle 368172 
5 29 38.58 -69 47 29.6 0.13   3.53 15.88 15.25 14.89 14.52 # Ogle 400608 
5 29 41.92 -69 51 55.0 0.04   5.94 16.20 15.41 14.98 14.52 # Ogle 384989 
5 29 48.51 -69 49 51.1 0.09   5.34 15.98 15.40 15.02 14.63 # Ogle 393051 
5 29 49.70 -67  4 14.8 0.20   3.02 15.79 15.63 15.20 15.12 # Evs HV5877  
5 29 57.68 -69 50 52.4 0.07   2.03 16.61 16.01 15.63 15.31 # Ogle 63342  
5 29 58.41 -65 54 20.4 0.01   9.11 15.09 14.49 14.13 13.85 # Evs HV12816 
5 30  2.14 -69 53  1.0 0.07  15.99 15.72 14.65 14.08 13.55 # Ogle 55470  
5 30  2.44 -65 56  1.8 0.02  26.11 14.39 13.48 12.98 12.54 # Evs HV12815 
5 30  3.48 -67 33 24.6 0.17   3.58 15.87 15.45 15.18 14.89 # Evs HV980   
5 30  4.10 -69 59 40.2 0.17   2.18 16.27 15.74 15.44 15.17 # Ogle 39166  
5 30  4.30 -69 56 46.7 0.09   6.29 15.63 15.08 14.72 14.23 # Ogle 47348  
5 30 13.47 -69 26 15.7 0.07  23.04 14.80 13.85 13.31 12.90 # Ogle 108984 
5 30 14.11 -70  3 49.6 0.17   2.71 16.75 16.17 15.75 15.55 # Ogle 31081  
5 30 14.56 -69 44 22.6 0.20   2.59 16.38 16.08 15.68 15.44 # Ogle 78835  
5 30 18.24 -69 48 15.2 0.11   2.75 16.06 15.52 15.19 14.82 # Ogle 70874  
5 30 21.16 -69 34 25.2 0.13   4.17 16.38 15.70 15.36 15.05 # Ogle 91891  
5 30 23.62 -70  0  8.7 0.17   1.71 17.41 16.86 16.53 16.28 # Ogle 39433  
5 30 27.02 -69 31 14.1 0.07  10.99 14.91 14.25 13.88 13.55 # Ogle 97934  
5 30 27.67 -69 48 32.3 0.17   1.94 16.26 15.69 15.33 15.16 # Ogle 63369  
5 30 27.87 -69 56 41.2 0.09   4.21 15.99 15.50 15.11 14.75 # Ogle 47399  
5 30 37.58 -69 46 42.8 0.13   7.09 15.78 15.20 14.75 14.35 # Ogle 180132 
5 30 38.23 -69 58  6.8 0.09   6.38 15.73 15.19 14.78 14.22 # Ogle 158654 
5 30 39.17 -69 25 43.6 0.11   3.50 16.51 15.91 15.54 15.12 # Ogle 213961 
5 30 39.83 -69 56 40.1 0.09   2.56 15.91 15.44 15.19 14.73 # Ogle 158674 
5 30 40.74 -69 45  9.2 0.20   7.55 15.62 14.81 14.53 14.02 # Ogle 180138 
5 30 41.87 -69 49 15.9 0.09   5.99 15.89 15.37 14.84 14.52 # Ogle 172934 
5 30 47.36 -69 45 42.4 0.20   3.27 15.73 15.17 14.93 14.48 # Ogle 180165 
5 30 48.46 -69 27 15.0 0.07   2.42 16.19 15.66 15.34 15.04 # Ogle 208897 
5 30 48.78 -69 48 48.4 0.09   3.24 16.76 16.17 15.74 15.34 # Ogle 172969 
5 30 52.28 -69 56 44.9 0.09   2.31 18.90 17.02 15.96 14.75 # Ogle 158672 
5 30 52.89 -69 46 26.0 0.17   5.27 15.45 14.77 14.45 14.01 # Ogle 180134 
5 30 58.38 -69 57 32.3 0.09   7.02 15.73 15.14 14.68 14.29 # Ogle 158664 
5 30 59.50 -69 35 31.5 0.13   4.66 16.42 15.68 15.31 14.88 # Ogle 198723 
5 31  0.97 -69 45 32.6 0.20   4.87 16.20 15.54 15.19 14.74 # Ogle 180167 
5 31  2.77 -69 57 12.7 0.09   3.05 16.10 15.50 15.13 14.77 # Ogle 158669 
5 31  2.97 -69 32  7.3 0.13   4.64 16.01 15.48 15.09 14.78 # Ogle 203856 
5 31 12.78 -70  4 28.5 0.20   4.23 16.51 15.75 15.35 14.95 # Ogle 143098 
5 31 13.00 -69 25 59.4 0.13   2.53 15.75 15.33 14.99 14.83 # Ogle 213909 
5 31 17.28 -70  3 31.0 0.20   2.25 16.41 15.60 15.43 15.00 # Ogle 248450 
5 31 17.54 -69 54 28.8 0.20   5.98 15.59 14.94 14.64 14.20 # Ogle 270295 
5 31 18.32 -69 36 26.7 0.17   4.83 16.35 15.68 15.51 14.89 # Ogle 300414 
5 31 18.74 -70  3  0.9 0.20   1.82 18.54 16.79 15.95 15.13 # Ogle 248540 
5 31 22.46 -69 53 23.5 0.20   3.41 16.25 15.59 15.47 14.94 # Ogle 270322 
5 31 36.70 -69 56 44.0 0.20   3.24 15.82 15.23 14.94 14.59 # Ogle 263433 
5 31 38.47 -69 56 54.4 0.20   3.88 16.81 15.99 15.71 15.16 # Ogle 263498 
5 31 38.88 -69 58 42.7 0.20   4.63 15.98 15.39 15.10 14.70 # Ogle 263407 
5 31 40.99 -69 45  3.0 0.20   1.31 17.56 17.00 16.72 16.21 # Ogle 283723 
5 31 44.38 -69 58 12.1 0.20   3.38 16.47 15.86 15.50 15.16 # Ogle 263411 
5 31 47.70 -69 57 43.1 0.20   2.46 16.26 15.72 15.42 15.05 # Ogle 263415 
5 31 50.53 -69 54 58.2 0.20   3.77 16.22 15.71 15.61 15.03 # Ogle 270310 
5 32  1.15 -69 47 53.1 0.20   2.97 16.71 16.09 15.82 15.40 # Ogle 385324 
5 33  1.01 -68 11 27.1 0.06  13.14 15.46 14.58 14.20 13.64 # Evs HV997   
5 33 26.07 -68  9 54.7 0.06   1.75 17.55 17.01 16.70 16.30 # Evs HV12906 
5 34 22.75 -68  8 51.7 0.20   3.20 16.87 16.23 15.88 15.48 # Evs HV2682  
5 34 40.10 -68  6 40.5 0.20   6.56 16.52 15.68 15.15 14.65 # Evs HV2686  
5 35 55.61 -69 48 28.2 0.11   0.56 17.79 17.36 17.01 16.76 # Ogle 136842 
5 36  6.80 -68 49 13.1 0.11  18.71 14.92 14.03 13.58 13.07 # Evs HV1005  
5 36  9.07 -69 50  5.9 0.11   3.62 16.64 16.00 15.59 15.18 # Ogle 132436 
5 36 24.64 -69 54  1.8 0.20   2.07 18.94 17.71 17.12 16.49 # Ogle 194279 
5 36 28.29 -69 49 15.3 0.11  10.07 15.59 14.75 14.28 13.86 # Ogle 198114 
5 36 28.94 -66 41 19.3 0.17   3.74 16.35 15.74 15.26 15.02 # Evs HV5971  
5 37 17.21 -66 45 18.6 0.07   8.72 15.28 14.68 14.30 13.96 # Evs HV2733  
5 37 17.83 -70 17 42.8 0.20   3.15 17.26 16.37 15.92 15.54 # Ogle 226230 
5 37 22.49 -69 29 00.0 0.07  14.21 15.23 14.36 13.91 13.44 # Evs HV1006  
5 37 22.54 -70 12 16.3 0.20   3.74 16.85 15.65 15.65 15.03 # Ogle 235434 
5 37 22.66 -70 23 43.8 0.20   4.65 16.36 15.79 15.19 14.96 # Ogle 222446 
5 37 23.72 -70  9 45.0 0.20   1.94 17.83 16.60 15.81 15.25 # Ogle 235485 
5 37 29.98 -70 13 57.8 0.20   4.04 15.91 15.66 15.09 14.98 # Ogle 33299  
5 37 30.19 -70 22 34.6 0.20   5.05 16.40 15.74 15.23 14.94 # Ogle 24561  
5 37 33.72 -70 23  7.4 0.20   3.27 16.57 16.11 15.51 15.34 # Ogle 24585  
5 37 35.46 -70 14  9.1 0.20   4.39  0.00 15.55 15.21 14.96 # Ogle 33292  
5 37 37.16 -70 32  1.2 0.20   2.52 16.70 15.88 15.54 15.14 # Ogle 11199  
5 37 37.17 -70 20 47.2 0.20   4.30 16.30 15.79 15.30 15.09 # Ogle 24574  
5 37 37.53 -70 25 52.3 0.20   4.66 15.71 15.41 14.90 14.76 # Ogle 19793  
5 37 38.29 -70 29 51.9 0.20   4.23 16.43 15.75 15.21 14.95 # Ogle 15426  
5 37 38.69 -70 14 43.5 0.20   1.85 16.50 16.09 15.60 15.41 # Ogle 33351  
5 37 38.74 -70 14  6.3 0.20   3.64 15.54 15.65  0.00 15.81 # Ogle 33368  
5 37 38.83 -70 16  5.3 0.20   3.42 19.04 17.38 16.43 15.73 # Ogle 33268  
5 37 41.46 -70 15 36.9 0.20   3.26 15.95 15.43 15.01 14.75 # Ogle 33271  
5 37 45.57 -70 19 44.2 0.20   8.25 18.80 17.06 16.00 15.10 # Ogle 29509  
5 37 47.27 -70 23 13.5 0.20   2.03 17.29 16.42 16.05 15.60 # Ogle 24582  
5 37 48.03 -70 13 56.8 0.20   5.78 16.64 15.82 15.28 14.91 # Ogle 33301  
5 37 49.71 -70 10 17.2 0.20   5.35 17.17 15.83 15.58 14.92 # Ogle 39482  
5 37 50.27 -70 20 42.7 0.20   2.15 17.22 16.37 15.94 15.51 # Ogle 24611  
5 37 51.45 -70 28 39.9 0.20   2.01 17.33 16.55 16.05 15.72 # Ogle 15475  
5 37 51.22 -70 17 57.0 0.20   2.17 17.07 16.24 15.91 15.49 # Ogle 29040  
5 37 54.47 -70 23 49.1 0.20   4.56 17.17 16.34 15.69 15.34 # Ogle 19805  
5 37 57.39 -70 11 17.6 0.20   2.11 17.09 16.39 15.95 15.58 # Ogle 39517  
5 38  3.63 -70 31 31.7 0.20   6.13 16.72 15.60 15.21 14.70 # Ogle 11204  
5 38  4.31 -70 20 29.3 0.20   8.49 17.52 16.83 16.35 15.92 # Ogle 24613  
5 38  4.43 -70 17 49.0 0.20   2.93 16.76 15.87 15.53 15.08 # Ogle 29007  
5 38  9.66 -70 22 40.9 0.20   3.53 17.08 16.05 15.75 15.25 # Ogle 94946  
5 38  8.44 -70 26 25.6 0.20   1.77 16.78 16.27 15.81 15.62 # Ogle 91102  
5 38 13.17 -70 21  6.0 0.20   2.30 16.61 16.03 15.59 15.29 # Ogle 94971  
5 38 13.59 -70 17 22.9 0.20   4.11 18.44 17.17 16.61 15.91 # Ogle 99137  
5 38 16.96 -70 19 37.9 0.17   2.31 16.37 15.86 15.49 15.19 # Ogle 99111  
5 38 17.04 -70 22 54.5 0.17   1.83 16.71 16.11 15.83 15.46 # Ogle 94941  
5 38 17.07 -70 26 21.2 0.17   5.13 17.16 16.27 15.75 15.22 # Ogle 91079  
5 38 19.21 -70 27 47.9 0.20   2.05 16.98 16.37 15.58 15.61 # Ogle 87209  
5 38 19.54 -70 16 19.6 0.17   2.02 17.21 16.37 15.96 15.60 # Ogle 102956 
5 38 20.20 -70 11 41.1 0.20   2.45 17.86 16.86 16.25 15.72 # Ogle 107167 
5 38 26.68 -70 23 12.6 0.13   2.68 16.23 15.64 15.29 14.97 # Ogle 94909  
5 38 31.42 -70 27 52.4 0.20   3.20 16.48 16.17 15.50 15.43 # Ogle 87208  
5 38 35.92 -70 22  7.6 0.13   2.19 16.87 16.21 15.89 15.40 # Ogle 94959  
5 38 36.71 -70 27 16.4 0.20   3.55 16.88 15.77 15.65 15.09 # Ogle 91089  
5 38 40.42 -70 21 20.0 0.20   3.31 17.56 17.28 16.97 17.17 # Ogle 94969  
5 38 43.03 -70 21 29.5 0.13   3.58 16.68 16.13 15.62 15.41 # Ogle 94967  
5 38 44.55 -70 11 24.0 0.20   0.91 18.98 17.38 16.78 15.93 # Ogle 107170 
5 38 47.04 -70 17  9.0 0.17   1.92 17.36 16.59 16.26 15.76 # Ogle 99139  
5 38 50.55 -70 29 39.1 0.20   1.88 16.29 15.87 15.50 15.31 # Ogle 146711 
5 38 51.30 -70 20 12.7 0.13   5.75 16.89 16.05 15.56 15.03 # Ogle 157914 
5 38 51.36 -70 29 35.7 0.20   1.51 16.67 16.35 15.87 15.77 # Ogle 146713 
5 38 54.62 -70 18 42.6 0.11  11.53 16.06 15.07 14.57 14.03 # Ogle 157908 
5 38 54.61 -70 20 59.0 0.11   1.74 17.59 16.86 16.41 15.99 # Ogle 153986 
5 38 56.26 -70 23  1.9 0.11   9.35 16.96 15.73 15.21 14.52 # Ogle 153923 
5 38 57.13 -70 11 14.9 0.20   3.72 18.61 17.39 16.66 16.03 # Ogle 165084 
5 39  2.17 -70 26 15.2 0.11   0.81 18.37 17.68 17.31 16.90 # Ogle 150217 
5 39  3.86 -70 18 35.6 0.11   1.85 16.79 16.44 15.85 15.57 # Ogle 157955 
5 39  8.05 -70 20 16.7 0.11   7.96 15.63 14.93 14.52 14.22 # Ogle 153917 
5 39 14.20 -70 14 10.9 0.20   2.09 17.67 16.86 16.34 15.86 # Ogle 161756 
5 39 15.46 -70 18 48.5 0.11   3.00 17.40 16.61 16.19 15.71 # Ogle 157949 
5 39 25.56 -70 20 58.9 0.13  10.04 15.76 14.88 14.44 13.97 # Ogle 153916 
5 39 32.13 -70 28  3.9 0.20   2.11 16.28 15.78 15.45 15.19 # Ogle 200426 
5 39 32.34 -70 26 28.0 0.13   6.59 16.44 15.58 15.07 14.70 # Ogle 203718 
5 39 32.99 -70 19 37.5 0.17   2.21  0.00 19.08 18.50 17.65 # Ogle 211311 
5 39 32.40 -70 21 48.0 0.11   2.13 16.75 16.11 15.74 15.30 # Ogle 207502 
5 39 33.18 -70 22 34.6 0.13   3.64 16.74 16.01 15.59 15.15 # Ogle 207457 
5 39 37.85 -70 23 22.0 0.17   8.28 19.83 18.80 18.12 17.51 # Ogle 207446 
