  GALLONG  GALLAT  NAME
    deg     deg
   275.3    -1.2   NGC 2910
   276.0    -1.2   NGC 2925
   274.7     1.8   NGC 2972
   277.1    -0.8   Ruprecht 79
   279.6    -2.1   NGC 3033
   279.9     0.3   NGC 3105
   283.6    -3.8   NGC 3114
   280.7     4.6   NGC 3228
   284.6    -0.3   NGC 3247
   284.6     0.0   IC 2581
   286.1    -1.6   Collinder 223
   285.8     0.1   NGC 3293
   286.2    -0.2   NGC 3324
   286.6    -0.6   vdB-Hagen 99
   284.5     3.9   NGC 3330
   290.1    -5.6   Melotte 101
   287.3    -0.3   Bochum 10
   287.9    -1.1   Collinder 228
   289.6    -4.9   IC 2602
   287.4    -0.6   Trumpler 14
   287.4    -0.4   Trumpler 15
   287.6    -0.7   Trumpler 16
   288.3    -0.9   Bochum 11
   289.5    -2.0   Ruprecht 92
   288.7     0.4   Trumpler 17
   289.9    -1.8   Bochum 12
   289.5    -0.4   NGC 3496
   289.6    -0.4   Sher 1
   289.5     0.1   Pismis 17
   290.5    -1.1   Ruprecht 93
   289.6     1.5   NGC 3532
   290.7     0.2   NGC 3572
   290.8     0.1   Hogg 10
   290.8     0.2   Collinder 240
   291.0    -0.1   Trumpler 18
   291.2    -0.2   NGC 3590
   290.5     1.6   Stock 13
   291.6    -0.5   NGC 3603
   292.4    -1.8   IC 2714
   292.9    -2.4   Melotte 105
   286.8    16.9   NGC 3680
   294.1    -0.0   NGC 3766
   294.9    -1.5   IC 2944
   295.2    -0.6   Stock 14
   294.4     6.2   NGC 3960
   296.8    -0.4   Ruprecht 97
   297.2    -2.2   Ruprecht 98
   297.6     1.2   NGC 4103
   299.8     0.8   NGC 4349
   226.3    84.5   Melotte 111
   300.4     2.5   NGC 4439
   300.2     2.0   Harvard 5
   300.6    -2.0   NGC 4463
   301.9    -0.1   NGC 4609
   302.4    -0.4   Hogg 15
   303.2     2.5   NGC 4755
   305.6    -4.5   Harvard 8
   306.1     0.1   Stock 16
   307.9     3.2   NGC 5138
   307.2     0.2   Basel 18
   307.5     1.3   Hogg 16
   307.6     1.2   Collinder 272
   307.7     1.6   NGC 5168
   308.2     4.0   Ruprecht 108
   307.6    -0.3   Trumpler 21
   309.2    -0.7   NGC 5281
   310.2     0.1   NGC 5316
   311.1     0.6   Lynga 1
   315.8    12.6   NGC 5460
   313.8    -0.5   Lynga 2
   314.8     1.0   NGC 5606
   314.7    -0.1   NGC 5617
   314.7    -0.6   Trumpler 22
   314.9    -0.9   Hogg 17
   316.9     3.5   NGC 5662
   109.9    44.7   Collinder 285
   319.5     4.5   NGC 5749
   320.8     6.4   Hogg 18
   321.7     3.6   NGC 5822
   321.2     2.4   NGC 5823
   320.9    -1.6   Pismis 20
   324.5    -6.0   NGC 6025
   330.4     0.3   Lynga 6
   329.6    -2.0   NGC 6031
   329.7    -2.2   NGC 6067
   327.7    -5.4   NGC 6087
   341.6     5.9   NGC 6124
   335.4    -0.6   NGC 6134
   335.3    -1.3   NGC 6167
   338.4     1.2   NGC 6178
   340.6     2.1   NGC 6192
   336.7    -1.6   NGC 6193
   338.0    -1.1   NGC 6200
   339.0    -1.6   NGC 6204
   333.7    -5.8   NGC 6208
   343.5     1.2   NGC 6231
   340.9    -1.2   Lynga 14
   345.4     2.4   NGC 6242
   344.7     1.5   Trumpler 24
   341.6    -1.2   NGC 6249
   340.7    -1.9   NGC 6250
   342.0    -1.5   NGC 6259
   347.8     2.0   NGC 6281
   351.2     1.4   Bochum 13
   345.3    -3.1   NGC 6322
   340.1    -7.9   IC 4651
   353.1     0.6   Pismis 24
   355.7     0.1   NGC 6383
   355.1    -0.7   Trumpler 27
   356.0    -0.3   Trumpler 28
   352.9    -2.4   Ruprecht 127
   354.3    -2.4   NGC 6396
   356.6    -0.7   NGC 6405
   356.9    -1.5   NGC 6416
    30.6    17.1   IC 4665
   359.8    -0.3   Collinder 347
   357.9    -1.6   NGC 6425
   359.5    -1.6   NGC 6451
     0.2    -2.4   Basel 5
   355.9    -4.5   NGC 6475
    10.2     2.3   NGC 6494
     2.2    -2.3   Trumpler 31
     6.4    -0.5   Bochum 14
     2.9    -2.8   NGC 6520
     7.7    -0.4   NGC 6531
     6.1    -1.4   NGC 6530
     7.3    -1.4   NGC 6546
    45.6    15.9   Collinder 469
    18.3     1.7   NGC 6604
    12.8    -1.3   NGC 6603
    17.0     0.8   NGC 6611
    14.6    -1.5   NGC 6613
    12.4    -3.2   Trumpler 33
    36.1     8.3   NGC 6633
    13.6    -4.5   IC 4725
    21.6    -0.8   NGC 6649
    23.9    -0.5   NGC 6664
    36.4     5.3   IC 4756
    26.3    -0.8   NGC 6683
    28.7    -0.5   Trumpler 35
    23.9    -2.9   NGC 6694
    27.3    -1.9   Basel 1
    28.2    -2.2   NGC 6704
    27.3    -2.8   NGC 6705
    42.2     4.7   NGC 6709
    14.8    -9.6   Collinder 394
    15.4    -9.6   NGC 6716
    36.2    -2.2   Berkeley 42
    38.6    -1.7   NGC 6755
    47.1     1.1   Berkeley 82
    70.0    11.0   NGC 6791
    55.3     0.9   NGC 6802
    79.4    12.0   NGC 6811
    74.0     8.5   NGC 6819
    59.4    -0.1   NGC 6823
    60.4    -2.2   NGC 6830
    65.7     1.2   NGC 6834
    56.3    -4.7   Harvard 20
    58.8    -4.7   Roslund 3
    79.4     6.8   NGC 6866
    67.0    -1.3   Roslund 4
    72.6     2.1   NGC 6871
    72.8     1.3   Biurakan 2
    77.7     4.3   IC 1311
    75.3     1.3   IC 4996
    76.7     1.3   Berkeley 86
    75.7     0.3   Berkeley 87
    78.7     2.0   NGC 6910
    76.9     0.6   NGC 6913
    95.9    12.3   NGC 6939
    69.9    -7.2   NGC 6940
    91.3     2.3   NGC 7031
    88.0    -1.7   NGC 7039
    89.6    -0.4   IC 1369
    89.9    -2.7   NGC 7062
    91.6    -1.7   NGC 7067
    83.1    -9.9   NGC 7063
    91.5    -3.1   NGC 7082
    94.4     0.2   NGC 7086
    92.5    -2.3   NGC 7092
    97.3     0.4   NGC 7128
   105.4     9.5   NGC 7142
    94.4    -5.5   IC 5146
   104.0     6.5   NGC 7160
    95.5    -7.3   NGC 7209
   101.4    -0.6   NGC 7226
   102.7     0.8   NGC 7235
   101.4    -1.9   NGC 7245
    98.9    -5.6   NGC 7243
   101.7    -2.2   IC 1442
   104.3     0.9   NGC 7261
   103.1    -1.2   Berkeley 94
   103.7    -2.1   Berkeley 96
   107.4    -0.9   NGC 7380
   110.6     0.1   King 19
   111.0     0.0   NGC 7510
   111.3    -0.2   Markarian 50
   112.7     0.4   NGC 7654
   117.2     6.5   King 11
   117.5     6.0   NGC 7762
   116.1    -0.1   King 12
   116.4    -0.8   NGC 7788
   115.5    -5.4   NGC 7789
   116.6    -1.0   NGC 7790



